task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-26_21-53-35_#0-0: task_2,23057,11114,34171,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-01-26_21-53-35_#1-0: task_4,39374,26664,66038,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.5, 0.0, 0.5, 0.0, 0.5]"
2026-01-26_21-53-35_#2-0: task_2,32899,24488,57387,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_21-53-35_#3-0: task_2,27155,28866,56021,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-01-26_21-53-35_#4-0: task_7,57189,51134,108323,9,0,False,True,0.33,0.22,1.98,1.0,hard,"[0.33, 0.0, 0.0, 0.33, 0.33, 0.0, 0.33, 0.33, 0.33]"
2026-01-26_21-53-35_#5-0: task_1,20929,11138,32067,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-26_21-53-35_#6-0: task_4,15935,15636,31571,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-26_21-53-35_#7-0: task_7,28918,39894,68812,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-26_21-53-35_#8-0: task_5,25456,19493,44949,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-26_21-53-35_#9-0: task_1,28883,19445,48328,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-26_21-53-35_#10-0: task_1,25804,14184,39988,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-26_21-53-35_#11-0: task_6,31344,27584,58928,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-01-26_21-53-35_#12-0: task_7,30995,6403,37398,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-26_21-53-35_#13-0: task_1,44412,34273,78685,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_21-53-35_#14-0: task_1,11062,7307,18369,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
