task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-18_18-33-48_#0-0: task_1,78395,12041,90436,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-18_18-33-48_#1-0: task_6,49986,13169,63155,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-18_18-33-48_#2-0: task_6,47828,16592,64420,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-01-18_18-33-48_#3-0: task_1,34293,15649,49942,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-18_18-33-48_#4-0: task_6,28185,14112,42297,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-18_18-33-48_#5-0: task_5,86558,17688,104246,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-18_18-33-48_#6-0: task_7,64286,11363,75649,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-18_18-33-48_#7-0: task_3,86507,16194,102701,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-18_18-33-48_#8-0: task_7,60764,8764,69528,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-18_18-33-48_#9-0: task_6,24430,15441,39871,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-18_18-33-48_#10-0: task_3,58028,27970,85998,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-18_18-33-48_#11-0: task_1,40073,23973,64046,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-18_18-33-48_#12-0: task_3,39954,24098,64052,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
