task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-02-04_20-30-30_#1-0: task_6,57872,22968,80840,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-04_20-30-30_#2-0: task_6,56386,29457,85843,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#3-0: task_1,39773,25289,65062,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#4-0: task_6,43067,26973,70040,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-04_20-30-30_#5-0: task_5,107205,38024,145229,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#6-0: task_7,76861,15316,92177,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-02-04_20-30-30_#7-0: task_3,100580,35560,136140,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#8-0: task_7,59679,8987,68666,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-02-04_20-30-30_#9-0: task_6,39648,33580,73228,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#10-0: task_3,74605,65259,139864,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#11-0: task_1,60535,41788,102323,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#12-0: task_3,60213,46440,106653,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#13-0: task_4,54120,34720,88840,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#14-0: task_2,61808,37015,98823,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#15-0: task_4,97461,56232,153693,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#16-0: task_1,73850,50779,124629,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#17-0: task_6,124952,44359,169311,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#18-0: task_6,76759,56306,133065,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#19-0: task_3,62177,31631,93808,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#20-0: task_5,52339,28513,80852,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#21-0: task_5,82260,58567,140827,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#22-0: task_1,114157,53940,168097,7,7,True,False,1.0,1.0,7.0,1.0,easy,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-02-04_20-30-30_#23-0: task_7,73306,54405,127711,7,0,False,True,0.33,0.094286,0.66,0.66,hard,"[0.33, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#24-0: task_6,78159,45424,123583,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#25-0: task_3,33973,38464,72437,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-04_20-30-30_#26-0: task_7,125288,27006,152294,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#27-0: task_6,49923,30684,80607,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#28-0: task_5,50099,33238,83337,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-04_20-30-30_#29-0: task_5,122263,22898,145161,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-02-04_20-30-30_#30-0: task_2,86473,58074,144547,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#31-0: task_2,112437,27191,139628,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#32-0: task_3,76450,37919,114369,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#33-0: task_7,79325,44053,123378,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#34-0: task_2,106767,19664,126431,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-04_20-30-30_#35-0: task_7,44454,20693,65147,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-02-04_20-30-30_#36-0: task_5,140635,48806,189441,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-02-04_20-30-30_#37-0: task_1,53315,9757,63072,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-02-04_20-30-30_#38-0: task_5,55842,41722,97564,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#39-0: task_3,51159,36824,87983,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#40-0: task_4,63125,43477,106602,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#41-0: task_1,76751,40134,116885,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#42-0: task_1,76712,37879,114591,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#43-0: task_7,75223,51395,126618,6,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#44-0: task_7,90613,70535,161148,6,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#45-0: task_3,40971,21905,62876,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-04_20-30-30_#46-0: task_2,92645,41888,134533,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
