task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-29_07-45-31_#0-0: task_2,29381,3130,32511,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[0.0, 1.0, 1.0]"
2026-03-29_07-45-31_#1-0: task_4,53427,8359,61786,6,0,False,True,0.5,0.416667,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.0, 0.5, 0.5]"
2026-03-29_07-45-31_#2-0: task_2,39356,17406,56762,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#3-0: task_2,31877,5723,37600,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#4-0: task_7,75098,14037,89135,9,0,False,True,0.33,0.146667,1.32,1.0,hard,"[0.33, 0.0, 0.33, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0]"
2026-03-29_07-45-31_#5-0: task_1,31129,1329,32458,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_07-45-31_#6-0: task_4,13011,1798,14809,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-29_07-45-31_#7-0: task_7,31454,6725,38179,4,0,False,True,0.67,0.25,1.0,1.0,hard,"[0.33, 0.67, 0.0, 0.0]"
2026-03-29_07-45-31_#8-0: task_5,38864,3440,42304,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_07-45-31_#9-0: task_1,40127,12695,52822,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#10-0: task_1,37803,2719,40522,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_07-45-31_#11-0: task_6,43582,4031,47613,4,1,True,False,1.0,0.25,1.0,1.0,medium,"[1.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#12-0: task_7,45291,1603,46894,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-29_07-45-31_#13-0: task_1,55777,8366,64143,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#14-0: task_1,10910,1420,12330,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-29_07-45-31_#15-0: task_7,47551,7416,54967,7,0,False,True,0.33,0.094286,0.66,0.66,hard,"[0.33, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#16-0: task_7,44967,6451,51418,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.0, 0.67, 0.0]"
2026-03-29_07-45-31_#17-0: task_2,14539,1779,16318,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_07-45-31_#18-0: task_2,26702,3271,29973,4,3,True,False,1.0,0.75,3.0,1.0,easy,"[0.0, 1.0, 1.0, 1.0]"
2026-03-29_07-45-31_#19-0: task_4,47855,3585,51440,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-03-29_07-45-31_#20-0: task_2,30922,15351,46273,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#21-0: task_7,31103,1808,32911,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-03-29_07-45-31_#22-0: task_4,35059,6874,41933,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-03-29_07-45-31_#23-0: task_1,44708,4211,48919,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#24-0: task_2,34470,3733,38203,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#25-0: task_4,16962,1961,18923,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-03-29_07-45-31_#26-0: task_3,32848,8695,41543,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0]"
2026-03-29_07-45-31_#27-0: task_7,30825,6893,37718,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-03-29_07-45-31_#28-0: task_7,45964,9446,55410,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33, 0.0]"
2026-03-29_07-45-31_#29-0: task_4,27756,4143,31899,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.0, 0.0, 0.5, 0.5]"
2026-03-29_07-45-31_#30-0: task_3,25175,6533,31708,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#31-0: task_4,38133,10291,48424,5,1,True,False,1.0,0.3,1.5,1.0,medium,"[0.0, 1.0, 0.5, 0.0, 0.0]"
2026-03-29_07-45-31_#32-0: task_6,59223,2918,62141,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-29_07-45-31_#33-0: task_6,24775,8268,33043,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.5, 0.0, 0.0]"
2026-03-29_07-45-31_#34-0: task_7,7413,2293,9706,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-29_07-45-31_#35-0: task_6,35080,2712,37792,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-29_07-45-31_#36-0: task_4,23937,2621,26558,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-03-29_07-45-31_#37-0: task_2,53686,9224,62910,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-03-29_07-45-31_#38-0: task_2,40595,4005,44600,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#39-0: task_3,20989,5774,26763,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#40-0: task_2,32347,9734,42081,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#41-0: task_1,31219,10874,42093,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#42-0: task_5,28212,8723,36935,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-03-29_07-45-31_#43-0: task_6,54240,5433,59673,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0]"
2026-03-29_07-45-31_#44-0: task_5,20394,2779,23173,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-03-29_07-45-31_#45-0: task_1,48278,4352,52630,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_07-45-31_#46-0: task_6,24161,10819,34980,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_07-45-31_#47-0: task_3,23130,1628,24758,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-29_07-45-31_#48-0: task_1,7623,1718,9341,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_07-45-31_#49-0: task_1,29120,13542,42662,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-03-29_07-45-31_#50-0: task_5,26767,7220,33987,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
