task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-27_07-46-24_#0-0: task_2,20961,10418,31379,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 0.0, 1.0]"
2026-01-27_07-46-24_#1-0: task_4,35399,33796,69195,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#2-0: task_2,28928,31172,60100,5,3,True,False,1.0,0.6,3.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0, 1.0]"
2026-01-27_07-46-24_#3-0: task_2,23558,30897,54455,2,2,True,False,1.0,1.0,2.0,1.0,easy,"[1.0, 1.0]"
2026-01-27_07-46-24_#4-0: task_7,51002,50980,101982,9,0,False,True,0.33,0.11,0.99,0.99,hard,"[0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.33, 0.0, 0.0]"
2026-01-27_07-46-24_#5-0: task_1,20143,4022,24165,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-27_07-46-24_#6-0: task_4,14082,12782,26864,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#7-0: task_7,25623,26551,52174,4,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#8-0: task_5,23990,11028,35018,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-27_07-46-24_#9-0: task_1,26130,22491,48621,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#10-0: task_1,24238,14544,38782,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-27_07-46-24_#11-0: task_6,28707,17639,46346,3,1,True,False,1.0,0.333333,1.0,1.0,medium,"[1.0, 0.0, 0.0]"
2026-01-27_07-46-24_#12-0: task_7,30159,8082,38241,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-27_07-46-24_#13-0: task_1,39203,42211,81414,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#14-0: task_1,9716,7427,17143,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-27_07-46-24_#15-0: task_7,33939,26504,60443,5,0,False,True,0.33,0.132,0.66,0.66,hard,"[0.33, 0.33, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#16-0: task_7,31916,33932,65848,4,0,False,True,0.33,0.165,0.66,0.66,hard,"[0.33, 0.0, 0.0, 0.33]"
2026-01-27_07-46-24_#17-0: task_2,10812,8322,19134,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-27_07-46-24_#18-0: task_2,19741,12748,32489,4,3,True,False,1.0,0.75,3.0,1.0,easy,"[1.0, 0.0, 1.0, 1.0]"
2026-01-27_07-46-24_#19-0: task_4,29644,16373,46017,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-27_07-46-24_#20-0: task_2,18412,12427,30839,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#21-0: task_7,20485,12535,33020,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-01-27_07-46-24_#22-0: task_4,26942,25858,52800,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.0, 1.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-27_07-46-24_#23-0: task_1,37781,31237,69018,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#24-0: task_2,23815,17052,40867,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#25-0: task_4,12042,12363,24405,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-27_07-46-24_#26-0: task_3,24382,24265,48647,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#27-0: task_7,23518,19257,42775,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#28-0: task_7,30373,24796,55169,4,0,False,True,0.33,0.2475,0.99,0.99,hard,"[0.0, 0.33, 0.33, 0.33]"
2026-01-27_07-46-24_#29-0: task_4,20551,16784,37335,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#30-0: task_3,18434,19343,37777,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-27_07-46-24_#31-0: task_4,29954,28695,58649,5,0,False,True,0.5,0.3,1.5,1.0,medium,"[0.0, 0.0, 0.5, 0.5, 0.5]"
2026-01-27_07-46-24_#32-0: task_6,40817,8421,49238,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-27_07-46-24_#33-0: task_6,18843,15798,34641,4,0,False,True,0.5,0.375,1.5,1.0,medium,"[0.5, 0.5, 0.5, 0.0]"
2026-01-27_07-46-24_#34-0: task_7,5819,9769,15588,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
