task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-12_18-47-21_#0-0: task_2,27300,856,28156,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_18-28-41_#1-0: task_4,45737,1715,47452,6,0,False,True,0.5,0.083333,0.5,0.5,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_18-28-41_#2-0: task_2,37770,1286,39056,6,3,True,False,1.0,0.5,3.0,1.0,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
2026-01-06_18-28-41_#3-0: task_2,30534,1464,31998,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_18-28-41_#4-0: task_7,65295,1750,67045,9,0,False,True,0.33,0.036667,0.33,0.33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-06_18-28-41_#5-0: task_1,27514,516,28030,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-06_18-28-41_#6-0: task_4,17806,548,18354,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_18-28-41_#7-0: task_7,32489,972,33461,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-06_18-28-41_#8-0: task_5,32145,691,32836,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_18-28-41_#9-0: task_1,34422,1328,35750,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_18-28-41_#10-0: task_1,31993,633,32626,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-06_18-28-41_#11-0: task_6,37487,861,38348,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-06_18-28-41_#12-0: task_7,41427,501,41928,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
