task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-02-06_08-03-20_#0-0: task_1,145263,10503,155766,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-06_08-03-20_#1-0: task_6,88644,8669,97313,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-06_08-03-20_#2-0: task_6,75932,12967,88899,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
2026-02-06_08-03-20_#3-0: task_1,50074,11544,61618,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#4-0: task_6,53262,15646,68908,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-02-06_08-03-20_#5-0: task_5,158662,17629,176291,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#6-0: task_7,120249,9808,130057,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-02-06_08-03-20_#7-0: task_3,160328,22573,182901,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#8-0: task_7,115485,6081,121566,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-02-06_08-03-20_#9-0: task_6,36289,15689,51978,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#10-0: task_3,87943,28131,116074,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#11-0: task_1,65414,27011,92425,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#12-0: task_3,44422,26435,70857,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#13-0: task_4,65632,19487,85119,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.0, 0.0, 0.5, 0.5]"
2026-02-06_08-03-20_#14-0: task_2,79646,15570,95216,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#15-0: task_4,101627,35182,136809,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#16-0: task_1,64457,35635,100092,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#17-0: task_6,167336,8941,176277,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-02-06_08-03-20_#18-0: task_6,87100,44078,131178,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#19-0: task_3,72923,17701,90624,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#20-0: task_5,60125,9956,70081,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#21-0: task_5,93428,28105,121533,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#22-0: task_1,159558,31722,191280,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#23-0: task_7,80074,33126,113200,7,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#24-0: task_6,106121,24728,130849,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-06_08-03-20_#25-0: task_3,32180,20870,53050,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
