task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-30_20-00-30_#0-0: task_1,151242,13128,164370,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-30_20-08-37_#1-0: task_6,97041,11695,108736,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-30_20-08-37_#2-0: task_6,83753,14634,98387,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#3-0: task_1,56091,11219,67310,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#4-0: task_6,66038,16305,82343,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#5-0: task_5,164360,18583,182943,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#6-0: task_7,139833,12373,152206,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-30_20-20-13_#7-0: task_3,175639,15574,191213,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#8-0: task_7,152428,4698,157126,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-30_20-20-13_#9-0: task_6,46434,15592,62026,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#10-0: task_3,91963,36993,128956,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#11-0: task_1,77169,30439,107608,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#12-0: task_3,50504,22557,73061,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#13-0: task_4,77547,18690,96237,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5]"
2026-01-30_20-20-13_#14-0: task_2,87812,19533,107345,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#15-0: task_4,107703,38389,146092,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#16-0: task_1,69729,27487,97216,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#17-0: task_6,177221,4791,182012,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-30_20-20-13_#18-0: task_6,94167,36064,130231,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-30_20-20-13_#19-0: task_3,79747,14633,94380,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#20-0: task_5,73328,16359,89687,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#21-0: task_5,98376,29436,127812,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#22-0: task_1,166626,28653,195279,7,7,True,False,1.0,1.0,7.0,1.0,easy,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-01-30_20-20-13_#23-0: task_7,84808,33397,118205,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-30_20-20-13_#24-0: task_6,112340,29200,141540,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#25-0: task_3,33508,22465,55973,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#26-0: task_7,201290,9076,210366,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-30_20-20-13_#27-0: task_6,67057,15926,82983,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#28-0: task_5,41143,12054,53197,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-30_20-20-13_#29-0: task_5,198511,5712,204223,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-30_20-20-13_#30-0: task_2,110832,34945,145777,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
