task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-15_10-33-49_#0-0: task_1,24957,7903,32860,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-15_10-33-49_#1-0: task_6,43723,6064,49787,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-03-15_10-33-49_#2-0: task_6,73157,10689,83846,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
2026-03-15_10-33-49_#3-0: task_1,36298,8591,44889,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#4-0: task_6,21572,5304,26876,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-15_10-33-49_#5-0: task_5,98574,11852,110426,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-15_10-33-49_#6-0: task_7,46711,5848,52559,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-15_10-33-49_#7-0: task_3,112872,9749,122621,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-15_10-33-49_#8-0: task_7,53544,5148,58692,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-15_10-33-49_#9-0: task_6,42467,11519,53986,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#10-0: task_3,96880,20959,117839,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#11-0: task_1,65116,10369,75485,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#12-0: task_3,44545,14408,58953,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#13-0: task_4,45249,18404,63653,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#14-0: task_2,74226,9466,83692,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#15-0: task_4,109149,22756,131905,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#16-0: task_1,82623,27335,109958,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#17-0: task_6,134236,15033,149269,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#18-0: task_6,96855,25112,121967,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#19-0: task_3,42998,9305,52303,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#20-0: task_5,42232,9149,51381,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#21-0: task_5,100626,18593,119219,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#22-0: task_1,143674,19754,163428,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#23-0: task_7,89730,20704,110434,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-03-15_10-33-49_#24-0: task_6,101602,10394,111996,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#25-0: task_3,41729,11523,53252,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#26-0: task_7,40625,11316,51941,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#27-0: task_6,52841,7873,60714,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#28-0: task_5,34367,11546,45913,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#29-0: task_5,105796,6794,112590,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-15_10-33-49_#30-0: task_2,110225,12558,122783,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#31-0: task_2,70951,8055,79006,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#32-0: task_3,73997,16865,90862,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#33-0: task_7,104883,12148,117031,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#34-0: task_2,93968,6639,100607,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-15_10-33-49_#35-0: task_7,25734,10768,36502,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-15_10-33-49_#36-0: task_5,82841,13406,96247,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#37-0: task_1,14645,4667,19312,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-15_10-33-49_#38-0: task_5,71591,15685,87276,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#39-0: task_3,56625,8001,64626,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#40-0: task_4,61735,18069,79804,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#41-0: task_1,88730,13452,102182,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#42-0: task_1,90544,14597,105141,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#43-0: task_7,90474,14285,104759,6,0,False,True,0.33,0.055,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#44-0: task_7,112067,26514,138581,8,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#45-0: task_3,38838,6335,45173,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#46-0: task_2,90635,14637,105272,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#47-0: task_1,44588,8034,52622,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-15_10-33-49_#48-0: task_2,126793,15868,142661,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#49-0: task_5,75996,14783,90779,5,0,False,True,0.25,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.25, 0.25, 0.0]"
2026-03-15_10-33-49_#50-0: task_1,23186,3659,26845,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-03-15_10-33-49_#51-0: task_1,15684,2661,18345,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-03-15_10-33-49_#52-0: task_6,49805,13937,63742,5,0,False,True,0.25,0.05,0.25,0.25,medium,"[0.0, 0.0, 0.0, 0.0, 0.25]"
2026-03-15_10-33-49_#53-0: task_1,25642,6550,32192,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-15_10-33-49_#54-0: task_7,112931,12501,125432,5,0,False,True,0.33,0.198,0.99,0.99,hard,"[0.0, 0.33, 0.33, 0.0, 0.33]"
2026-03-15_10-33-49_#55-0: task_5,36958,11379,48337,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-15_10-33-49_#56-0: task_7,79045,9410,88455,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-15_10-33-49_#57-0: task_2,33111,7016,40127,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-15_10-33-49_#58-0: task_2,13670,5114,18784,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-15_10-33-49_#59-0: task_6,119955,15445,135400,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#60-0: task_4,103259,9569,112828,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.5, 0.0, 0.0]"
2026-03-15_10-33-49_#61-0: task_5,36123,6908,43031,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#62-0: task_2,55736,8190,63926,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-03-15_10-33-49_#63-0: task_3,23183,5753,28936,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-15_10-33-49_#64-0: task_5,15365,4254,19619,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-15_10-33-49_#65-0: task_7,52502,7280,59782,3,0,False,True,0.17,0.056667,0.17,0.17,hard,"[0.17, 0.0, 0.0]"
2026-03-15_10-33-49_#66-0: task_5,34095,7650,41745,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.0, 0.25]"
2026-03-15_10-33-49_#67-0: task_4,19032,8977,28009,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-15_10-33-49_#68-0: task_2,98989,14587,113576,6,4,True,False,1.0,0.666667,4.0,1.0,easy,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
2026-03-15_10-33-49_#69-0: task_5,66452,11931,78383,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-15_10-33-49_#70-0: task_7,51268,10391,61659,3,0,False,True,0.67,0.223333,0.67,0.67,hard,"[0.0, 0.0, 0.67]"
2026-03-15_10-33-49_#71-0: task_6,26840,6808,33648,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-15_10-33-49_#72-0: task_6,65794,15038,80832,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-03-15_10-33-49_#73-0: task_2,16367,4715,21082,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-15_10-33-49_#74-0: task_4,81071,23627,104698,8,0,False,True,0.5,0.3125,2.5,1.0,medium,"[0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5]"
