task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-19_19-09-19_#0-0: task_2,38594,10295,48889,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[0.0, 1.0, 1.0]"
2026-03-19_19-09-19_#1-0: task_4,73402,22357,95759,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.0, 0.0]"
2026-03-19_19-09-19_#2-0: task_2,58793,17040,75833,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
2026-03-19_19-09-19_#3-0: task_2,46773,18947,65720,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0, 0.0]"
2026-03-19_19-09-19_#4-0: task_7,103159,34821,137980,9,0,False,True,0.33,0.146667,1.32,1.0,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.33, 0.33, 0.0]"
2026-03-19_19-09-19_#5-0: task_1,35230,9671,44901,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-19_19-09-19_#6-0: task_4,19231,9895,29126,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-19_19-09-19_#7-0: task_7,43761,21352,65113,4,0,False,True,0.67,0.1675,0.67,0.67,hard,"[0.67, 0.0, 0.0, 0.0]"
2026-03-19_19-09-19_#8-0: task_5,45978,12337,58315,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-19_19-09-19_#9-0: task_1,53009,18714,71723,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-19_19-09-19_#10-0: task_1,44900,7761,52661,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-19_19-09-19_#11-0: task_6,55796,14301,70097,4,0,False,True,0.5,0.375,1.5,1.0,medium,"[0.5, 0.0, 0.5, 0.5]"
2026-03-19_19-09-19_#12-0: task_7,49580,5373,54953,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-19_19-09-19_#13-0: task_1,80483,28394,108877,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-19_19-09-19_#14-0: task_1,15181,10964,26145,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[0.0, 1.0]"
2026-03-19_19-09-19_#15-0: task_7,69056,32385,101441,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33]"
