task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-12_14-14-42_#0-0: task_1,197398,661,198059,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-09_10-25-01_#1-0: task_6,51979,933,52912,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-09_10-25-01_#2-0: task_6,53828,1328,55156,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#3-0: task_1,41952,1172,43124,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#4-0: task_6,32179,803,32982,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-09_10-25-01_#5-0: task_5,91697,1562,93259,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#6-0: task_7,71064,1117,72181,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#7-0: task_3,89498,1130,90628,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#8-0: task_7,59105,550,59655,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-09_10-25-01_#9-0: task_6,31901,1747,33648,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#10-0: task_3,71825,1962,73787,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#11-0: task_1,55311,1862,57173,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#12-0: task_3,48579,1852,50431,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#13-0: task_4,42371,1111,43482,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#14-0: task_2,61737,1838,63575,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#15-0: task_4,79951,2357,82308,8,0,False,True,0.5,0.0625,0.5,0.5,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#16-0: task_1,62598,2140,64738,7,1,True,False,1.0,0.142857,1.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#17-0: task_6,105901,1760,107661,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#18-0: task_6,62203,1693,63896,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#19-0: task_3,70715,1996,72711,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#20-0: task_5,43125,1197,44322,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#21-0: task_5,71480,1950,73430,7,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#22-0: task_1,101562,2318,103880,7,1,True,False,1.0,0.142857,1.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-09_10-25-01_#23-0: task_7,71054,2614,73668,8,0,False,True,0.33,0.04125,0.33,0.33,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#24-0: task_6,77731,1815,79546,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#25-0: task_3,34848,1419,36267,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#26-0: task_7,94109,588,94697,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-09_10-25-01_#27-0: task_6,51797,2257,54054,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#28-0: task_5,46886,1355,48241,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-09_10-25-01_#29-0: task_5,108838,969,109807,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-09_10-25-01_#30-0: task_2,90235,3041,93276,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
