task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-22_08-05-12_#0-0: task_2,24532,544,25076,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#1-0: task_4,42410,903,43313,6,0,False,True,0.5,0.166667,1.0,1.0,medium,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.0]"
2026-01-22_08-05-12_#2-0: task_2,37493,864,38357,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#3-0: task_2,30820,687,31507,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_08-05-12_#4-0: task_7,63173,1021,64194,9,0,False,True,0.33,0.036667,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-22_08-05-12_#5-0: task_1,20238,302,20540,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_08-05-12_#6-0: task_4,17647,493,18140,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#7-0: task_7,30923,548,31471,5,0,False,True,0.33,0.132,0.66,0.66,hard,"[0.0, 0.33, 0.0, 0.33, 0.0]"
2026-01-22_08-05-12_#8-0: task_5,25527,342,25869,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_08-05-12_#9-0: task_1,31273,562,31835,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#10-0: task_1,25410,356,25766,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_08-05-12_#11-0: task_6,33516,722,34238,4,1,True,False,1.0,0.25,1.0,1.0,medium,"[0.0, 0.0, 1.0, 0.0]"
2026-01-22_08-05-12_#12-0: task_7,29606,291,29897,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_08-05-12_#13-0: task_1,50593,1112,51705,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#14-0: task_1,12839,342,13181,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_08-05-12_#15-0: task_7,43590,791,44381,7,0,False,True,0.33,0.094286,0.66,0.66,hard,"[0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-22_08-05-12_#16-0: task_7,38487,761,39248,3,0,False,True,0.67,0.223333,0.67,0.67,hard,"[0.67, 0.0, 0.0]"
2026-01-22_08-05-12_#17-0: task_2,13820,306,14126,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_08-05-12_#18-0: task_2,30969,775,31744,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#19-0: task_4,33001,467,33468,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-01-22_08-05-12_#20-0: task_2,21356,488,21844,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#21-0: task_7,22604,404,23008,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-01-22_08-05-12_#22-0: task_4,37635,806,38441,6,0,False,True,0.5,0.166667,1.0,1.0,medium,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5]"
2026-01-22_08-05-12_#23-0: task_1,44316,961,45277,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#24-0: task_2,28215,649,28864,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_08-05-12_#25-0: task_4,15001,364,15365,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-01-22_08-05-12_#26-0: task_3,30831,699,31530,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-22_08-05-12_#27-0: task_7,27881,440,28321,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-01-22_08-05-12_#28-0: task_7,37216,722,37938,5,0,False,True,0.33,0.33,1.65,1.0,hard,"[0.33, 0.33, 0.33, 0.33, 0.33]"
2026-01-22_08-05-12_#29-0: task_4,25861,547,26408,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#30-0: task_3,24554,631,25185,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#31-0: task_4,38250,761,39011,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#32-0: task_6,39546,387,39933,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-01-22_08-05-12_#33-0: task_6,24569,655,25224,4,0,False,True,0.5,0.5,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5]"
2026-01-22_08-05-12_#34-0: task_7,7581,188,7769,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_08-05-12_#35-0: task_6,23520,404,23924,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-22_08-05-12_#36-0: task_4,21155,504,21659,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-01-22_08-05-12_#37-0: task_2,37770,463,38233,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#38-0: task_2,45170,819,45989,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#39-0: task_3,18889,566,19455,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-01-22_08-05-12_#40-0: task_2,34865,752,35617,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-22_08-05-12_#41-0: task_1,30039,647,30686,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_08-05-12_#42-0: task_5,23773,576,24349,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-01-22_08-05-12_#43-0: task_6,42739,785,43524,3,1,True,False,1.0,0.333333,1.0,1.0,medium,"[0.0, 0.0, 1.0]"
2026-01-22_08-05-12_#44-0: task_5,30274,630,30904,5,1,True,False,1.0,0.2,1.0,1.0,medium,"[0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-22_08-05-12_#45-0: task_1,42844,879,43723,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-22_08-05-12_#46-0: task_6,17938,374,18312,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-22_08-05-12_#47-0: task_3,15136,317,15453,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_08-05-12_#48-0: task_1,7202,234,7436,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_08-05-12_#49-0: task_1,25684,403,26087,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-01-22_08-05-12_#50-0: task_5,36495,940,37435,6,0,False,True,0.5,0.25,1.5,1.0,medium,"[0.0, 0.5, 0.0, 0.5, 0.0, 0.5]"
