task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-21_22-42-07_#0-0: task_3,37092,983,38075,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#1-0: task_3,34658,1000,35658,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#2-0: task_2,36725,1172,37897,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#3-0: task_6,21664,661,22325,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#4-0: task_3,55090,1324,56414,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#5-0: task_6,51731,934,52665,6,0,False,True,0.25,0.041667,0.25,0.25,medium,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#6-0: task_6,47962,1111,49073,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#7-0: task_6,46667,1060,47727,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#8-0: task_1,55834,1371,57205,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-21_22-42-07_#9-0: task_5,54681,1470,56151,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#10-0: task_6,40070,815,40885,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#11-0: task_2,36248,785,37033,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#12-0: task_5,28318,823,29141,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#13-0: task_6,28782,735,29517,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#14-0: task_2,11415,403,11818,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_22-42-07_#15-0: task_2,26964,687,27651,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#16-0: task_4,28561,678,29239,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#17-0: task_4,36328,654,36982,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#18-0: task_3,35799,1022,36821,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#19-0: task_6,25768,736,26504,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#20-0: task_6,28099,838,28937,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-01-21_22-42-07_#21-0: task_5,48534,1337,49871,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#22-0: task_2,34613,851,35464,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#23-0: task_6,47325,1048,48373,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#24-0: task_3,36798,1034,37832,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#25-0: task_7,21100,476,21576,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-21_22-42-07_#26-0: task_1,44826,1392,46218,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#27-0: task_2,12497,383,12880,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_22-42-07_#28-0: task_7,28822,812,29634,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-21_22-42-07_#29-0: task_1,27667,831,28498,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_22-42-07_#30-0: task_7,54319,1224,55543,6,0,False,True,0.67,0.166667,1.0,1.0,hard,"[0.0, 0.0, 0.33, 0.0, 0.67, 0.0]"
2026-01-21_22-42-07_#31-0: task_3,29480,820,30300,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#32-0: task_4,38460,992,39452,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#33-0: task_3,36367,986,37353,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#34-0: task_1,27684,755,28439,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_22-42-07_#35-0: task_2,10262,385,10647,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_22-42-07_#36-0: task_5,37434,872,38306,4,1,True,False,1.0,0.625,2.5,1.0,medium,"[0.5, 0.5, 1.0, 0.5]"
2026-01-21_22-42-07_#37-0: task_6,28389,843,29232,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#38-0: task_3,26775,731,27506,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#39-0: task_2,29564,778,30342,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#40-0: task_6,36970,1283,38253,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#41-0: task_4,19706,491,20197,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#42-0: task_4,29139,732,29871,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#43-0: task_6,13003,392,13395,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-21_22-42-07_#44-0: task_4,61668,1302,62970,7,0,False,True,0.5,0.142857,1.0,1.0,medium,"[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0]"
2026-01-21_22-42-07_#45-0: task_2,13343,391,13734,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_22-42-07_#46-0: task_3,39134,1045,40179,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#47-0: task_2,25056,788,25844,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#48-0: task_2,20420,515,20935,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_22-42-07_#49-0: task_6,18452,564,19016,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#50-0: task_5,28748,710,29458,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-21_22-42-07_#51-0: task_5,19033,488,19521,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#52-0: task_3,19093,485,19578,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_22-42-07_#53-0: task_6,35809,1140,36949,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.5, 0.0, 0.0]"
2026-01-21_22-42-07_#54-0: task_5,19739,543,20282,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#55-0: task_3,36667,1013,37680,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#56-0: task_2,25935,647,26582,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#57-0: task_2,23553,645,24198,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_22-42-07_#58-0: task_5,17288,633,17921,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-21_22-42-07_#59-0: task_4,29189,952,30141,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.0, 0.25, 0.0]"
2026-01-21_22-42-07_#60-0: task_1,29172,946,30118,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-21_22-42-07_#61-0: task_7,9331,302,9633,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-21_22-42-07_#62-0: task_1,24028,764,24792,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#63-0: task_2,24690,845,25535,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#64-0: task_6,16472,486,16958,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#65-0: task_2,38523,1093,39616,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#66-0: task_7,37168,1045,38213,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-21_22-42-07_#67-0: task_6,29727,846,30573,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#68-0: task_4,10651,375,11026,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-21_22-42-07_#69-0: task_5,22703,761,23464,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-01-21_22-42-07_#70-0: task_1,35339,1059,36398,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#71-0: task_4,36890,785,37675,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#72-0: task_4,16477,337,16814,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_22-42-07_#73-0: task_5,5117,138,5255,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-21_22-42-07_#74-0: task_4,27698,638,28336,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#75-0: task_5,8508,268,8776,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-21_22-42-07_#76-0: task_5,36718,1087,37805,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_22-42-07_#77-0: task_7,28164,773,28937,4,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0]"
