task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-16_14-17-11_#0-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#1-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#2-0: task_6,0,0,0,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-01-16_14-17-11_#3-0: task_1,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#4-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#5-0: task_5,0,0,0,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-16_14-17-11_#6-0: task_7,0,0,0,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-16_14-17-11_#7-0: task_3,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#8-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-16_14-17-11_#9-0: task_6,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#10-0: task_3,0,0,0,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#11-0: task_1,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#12-0: task_3,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#13-0: task_4,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#14-0: task_2,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#15-0: task_4,0,0,0,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#16-0: task_1,0,0,0,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#17-0: task_6,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#18-0: task_6,0,0,0,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#19-0: task_3,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#20-0: task_5,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#21-0: task_5,0,0,0,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#22-0: task_1,0,0,0,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#23-0: task_7,0,0,0,6,0,False,True,0.33,0.055,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#24-0: task_6,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#25-0: task_3,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#26-0: task_7,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#27-0: task_6,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#28-0: task_5,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#29-0: task_5,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#30-0: task_2,0,0,0,9,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#31-0: task_2,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#32-0: task_3,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#33-0: task_7,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#34-0: task_2,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#35-0: task_7,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-16_14-17-11_#36-0: task_5,0,0,0,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#37-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#38-0: task_5,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#39-0: task_3,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#40-0: task_4,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#41-0: task_1,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#42-0: task_1,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#43-0: task_7,0,0,0,6,0,False,True,0.33,0.055,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0]"
2026-01-16_14-17-11_#44-0: task_7,0,0,0,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-16_14-17-11_#45-0: task_3,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#46-0: task_2,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#47-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#48-0: task_2,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#49-0: task_5,0,0,0,5,0,False,True,0.25,0.05,0.25,0.25,medium,"[0.0, 0.0, 0.0, 0.0, 0.25]"
2026-01-16_14-17-11_#50-0: task_1,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-16_14-17-11_#51-0: task_1,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-16_14-17-11_#52-0: task_6,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#53-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#54-0: task_7,0,0,0,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.33, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#55-0: task_5,0,0,0,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-16_14-17-11_#56-0: task_7,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-16_14-17-11_#57-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#58-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#59-0: task_6,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#60-0: task_4,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#61-0: task_5,0,0,0,3,0,False,True,0.5,0.5,1.5,1.0,medium,"[0.5, 0.5, 0.5]"
2026-01-16_14-17-11_#62-0: task_2,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#63-0: task_3,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#64-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-16_14-17-11_#65-0: task_7,0,0,0,3,0,False,True,0.17,0.056667,0.17,0.17,hard,"[0.0, 0.0, 0.17]"
2026-01-16_14-17-11_#66-0: task_5,0,0,0,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.25, 0.0]"
2026-01-16_14-17-11_#67-0: task_4,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#68-0: task_2,0,0,0,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
2026-01-16_14-17-11_#69-0: task_5,0,0,0,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-16_14-17-11_#70-0: task_7,0,0,0,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-01-16_14-17-11_#71-0: task_6,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,medium,[1.0]
2026-01-16_14-17-11_#72-0: task_6,0,0,0,6,0,False,True,0.5,0.166667,1.0,1.0,medium,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5]"
2026-01-16_14-17-11_#73-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#74-0: task_4,0,0,0,8,0,False,True,0.5,0.25,2.0,1.0,medium,"[0.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0]"
2026-01-16_14-17-11_#75-0: task_6,0,0,0,9,0,False,True,0.5,0.111111,1.0,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0]"
2026-01-16_14-17-11_#76-0: task_6,0,0,0,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.0, 0.0, 0.5, 0.5]"
2026-01-16_14-17-11_#77-0: task_3,0,0,0,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#78-0: task_4,0,0,0,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-16_14-17-11_#79-0: task_5,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#80-0: task_4,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_14-17-11_#81-0: task_1,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#82-0: task_2,0,0,0,6,5,True,False,1.0,0.833333,5.0,1.0,easy,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-01-16_14-17-11_#83-0: task_2,0,0,0,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
2026-01-16_14-17-11_#84-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#85-0: task_3,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#86-0: task_1,0,0,0,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-16_14-17-11_#87-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-16_14-17-11_#88-0: task_5,0,0,0,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-16_14-17-11_#89-0: task_2,0,0,0,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 0.0, 1.0, 0.0]"
2026-01-16_14-17-11_#90-0: task_5,0,0,0,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-16_14-17-11_#91-0: task_2,0,0,0,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#92-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#93-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#94-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#95-0: task_1,0,0,0,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-16_14-17-11_#96-0: task_7,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#97-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-16_14-17-11_#98-0: task_2,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_14-17-11_#99-0: task_3,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#100-0: task_6,0,0,0,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-16_14-17-11_#101-0: task_4,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#102-0: task_2,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#103-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-16_14-17-11_#104-0: task_2,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#105-0: task_6,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#106-0: task_4,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#107-0: task_2,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_14-17-11_#108-0: task_7,0,0,0,3,0,False,True,0.17,0.056667,0.17,0.17,hard,"[0.0, 0.0, 0.17]"
