task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-07_18-41-30_#0-0: task_3,21343,6080,27423,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#1-0: task_3,21323,4144,25467,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#2-0: task_2,16253,3397,19650,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-04-07_18-41-30_#3-0: task_6,11145,2942,14087,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#4-0: task_3,21169,3280,24449,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#5-0: task_6,21240,4202,25442,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#6-0: task_6,21609,3806,25415,4,0,False,True,0.25,0.125,0.5,0.5,medium,"[0.0, 0.25, 0.0, 0.25]"
2026-04-07_18-41-30_#7-0: task_6,21601,8272,29873,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#8-0: task_1,16668,3014,19682,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-04-07_18-41-30_#9-0: task_5,11365,1928,13293,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#10-0: task_6,23421,6804,30225,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#11-0: task_2,20960,16534,37494,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#12-0: task_5,6322,2192,8514,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#13-0: task_6,6346,1505,7851,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#14-0: task_2,7022,1035,8057,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_18-41-30_#15-0: task_2,10170,2824,12994,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.0, 0.5]"
2026-04-07_18-41-30_#16-0: task_4,5893,2547,8440,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#17-0: task_4,12963,2319,15282,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#18-0: task_3,11340,2060,13400,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_18-41-30_#19-0: task_6,6410,2618,9028,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#20-0: task_6,12333,1671,14004,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-04-07_18-41-30_#21-0: task_5,26829,4623,31452,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#22-0: task_2,16322,3657,19979,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 1.0, 0.0]"
2026-04-07_18-41-30_#23-0: task_6,23674,5966,29640,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
2026-04-07_18-41-30_#24-0: task_3,21415,5915,27330,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#25-0: task_7,6191,824,7015,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-07_18-41-30_#26-0: task_1,16665,3318,19983,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_18-41-30_#27-0: task_2,6106,1801,7907,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_18-41-30_#28-0: task_7,16011,4122,20133,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-04-07_18-41-30_#29-0: task_1,16274,3856,20130,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#30-0: task_7,16706,9687,26393,3,0,False,True,0.67,0.223333,0.67,0.67,hard,"[0.0, 0.0, 0.67]"
2026-04-07_18-41-30_#31-0: task_3,6376,1801,8177,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_18-41-30_#32-0: task_4,18096,4630,22726,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#33-0: task_3,16108,2563,18671,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#34-0: task_1,15975,8911,24886,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#35-0: task_2,6120,8925,15045,0,0,False,False,0.0,0.0,0,0,easy,[]
2026-04-07_18-41-30_#36-0: task_5,11158,1879,13037,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-04-07_18-41-30_#37-0: task_6,18540,8669,27209,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#38-0: task_3,16128,2657,18785,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#39-0: task_2,17659,2635,20294,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#40-0: task_6,20887,11450,32337,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#41-0: task_4,11031,2339,13370,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#42-0: task_4,18234,8719,26953,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#43-0: task_6,6513,1504,8017,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#44-0: task_4,32387,5011,37398,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-04-07_18-41-30_#45-0: task_2,5991,2160,8151,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_18-41-30_#46-0: task_3,20926,11097,32023,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-04-07_18-41-30_#47-0: task_2,16105,11434,27539,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[0.0, 1.0]"
2026-04-07_18-41-30_#48-0: task_2,11289,1930,13219,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_18-41-30_#49-0: task_6,11254,2047,13301,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#50-0: task_5,11185,4660,15845,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-04-07_18-41-30_#51-0: task_5,12145,4716,16861,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#52-0: task_3,10934,2624,13558,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-04-07_18-41-30_#53-0: task_6,15990,3393,19383,3,1,True,False,1.0,0.333333,1.0,1.0,medium,"[1.0, 0.0, 0.0]"
2026-04-07_18-41-30_#54-0: task_5,12518,2908,15426,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#55-0: task_3,18536,6150,24686,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#56-0: task_2,16000,4001,20001,3,0,False,True,0.5,0.166667,0.5,0.5,easy,"[0.0, 0.0, 0.5]"
2026-04-07_18-41-30_#57-0: task_2,15919,4056,19975,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#58-0: task_5,10989,2119,13108,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#59-0: task_4,11314,3367,14681,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#60-0: task_1,11295,2569,13864,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_18-41-30_#61-0: task_7,5968,1688,7656,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-07_18-41-30_#62-0: task_1,18159,2743,20902,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#63-0: task_2,16243,3701,19944,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#64-0: task_6,12270,2483,14753,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-04-07_18-41-30_#65-0: task_2,18465,7566,26031,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-04-07_18-41-30_#66-0: task_7,24666,9246,33912,4,0,False,True,0.33,0.0825,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0]"
2026-04-07_18-41-30_#67-0: task_6,16018,12206,28224,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_18-41-30_#68-0: task_4,6565,2597,9162,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#69-0: task_5,17536,3120,20656,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-04-07_18-41-30_#70-0: task_1,26449,6484,32933,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#71-0: task_4,26575,6260,32835,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-07_18-41-30_#72-0: task_4,7143,1562,8705,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#73-0: task_5,4841,5153,9994,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#74-0: task_4,21175,4457,25632,4,0,False,True,0.5,0.375,1.5,1.0,medium,"[0.0, 0.5, 0.5, 0.5]"
2026-04-07_18-41-30_#75-0: task_5,6128,1502,7630,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_18-41-30_#76-0: task_5,25752,11429,37181,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0]"
2026-04-07_18-41-30_#77-0: task_7,16113,2800,18913,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
