task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-23_09-49-27_#0-0: task_1,81371,4885,86256,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-49-27_#1-0: task_6,52198,4305,56503,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-23_09-49-27_#2-0: task_6,53259,6666,59925,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#3-0: task_1,38651,8990,47641,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#4-0: task_6,30127,4310,34437,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-23_09-49-27_#5-0: task_5,93863,16795,110658,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#6-0: task_7,66279,3579,69858,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-23_09-49-27_#7-0: task_3,90654,10184,100838,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#8-0: task_7,62244,3396,65640,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-23_09-49-27_#9-0: task_6,31495,7911,39406,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#10-0: task_3,70768,14626,85394,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#11-0: task_1,47346,22272,69618,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#12-0: task_3,45232,12184,57416,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#13-0: task_4,41247,6002,47249,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#14-0: task_2,55224,9474,64698,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#15-0: task_4,80321,30321,110642,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#16-0: task_1,63223,16180,79403,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#17-0: task_6,109446,11187,120633,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#18-0: task_6,61521,17380,78901,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#19-0: task_3,64367,14676,79043,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#20-0: task_5,40874,12420,53294,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-49-27_#21-0: task_5,69657,13687,83344,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#22-0: task_1,105408,18626,124034,6,6,True,False,1.0,1.0,6.0,1.0,easy,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-01-23_09-49-27_#23-0: task_7,68869,20212,89081,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-23_09-49-27_#24-0: task_6,77415,11832,89247,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#25-0: task_3,25704,8658,34362,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#26-0: task_7,108224,5145,113369,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#27-0: task_6,47124,18068,65192,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#28-0: task_5,45425,10448,55873,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#29-0: task_5,117841,4155,121996,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-23_09-49-27_#30-0: task_2,89409,29197,118606,8,3,True,False,1.0,0.375,3.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
2026-01-23_09-49-27_#31-0: task_2,98307,6096,104403,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#32-0: task_3,68810,10321,79131,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#33-0: task_7,69935,22623,92558,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#34-0: task_2,98827,4239,103066,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-23_09-49-27_#35-0: task_7,39531,4210,43741,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-23_09-49-27_#36-0: task_5,139276,19886,159162,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-23_09-49-27_#37-0: task_1,57068,3063,60131,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-23_09-49-27_#38-0: task_5,51794,9745,61539,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
