task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-11_09-46-24_#0-0: task_1,11418,3752,15170,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-11_09-46-24_#1-0: task_6,34270,7439,41709,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-11_09-46-24_#2-0: task_6,56948,14820,71768,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-04-11_09-46-24_#3-0: task_1,22930,7552,30482,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#4-0: task_6,21059,7012,28071,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-11_09-46-24_#5-0: task_5,98664,9855,108519,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#6-0: task_7,37096,9021,46117,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-04-11_09-46-24_#7-0: task_3,110661,10424,121085,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#8-0: task_7,48861,5350,54211,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-11_09-46-24_#9-0: task_6,31454,17944,49398,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#10-0: task_3,58205,14005,72210,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#11-0: task_1,37478,20682,58160,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#12-0: task_3,28603,18792,47395,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#13-0: task_4,21238,10538,31776,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#14-0: task_2,64247,12457,76704,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#15-0: task_4,64670,19483,84153,6,0,False,True,0.5,0.166667,1.0,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5]"
2026-04-11_09-46-24_#16-0: task_1,33067,13109,46176,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-04-11_09-46-24_#17-0: task_6,115780,20211,135991,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#18-0: task_6,54801,13092,67893,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#19-0: task_3,30836,19071,49907,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#20-0: task_5,29092,10110,39202,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#21-0: task_5,76463,28392,104855,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#22-0: task_1,112376,24985,137361,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#23-0: task_7,54802,29962,84764,6,0,False,True,0.67,0.166667,1.0,1.0,hard,"[0.0, 0.33, 0.0, 0.0, 0.67, 0.0]"
2026-04-11_09-46-24_#24-0: task_6,75083,13677,88760,4,1,True,False,1.0,0.375,1.5,1.0,medium,"[0.0, 1.0, 0.0, 0.5]"
2026-04-11_09-46-24_#25-0: task_3,14905,10453,25358,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-11_09-46-24_#26-0: task_7,23808,7638,31446,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-04-11_09-46-24_#27-0: task_6,50045,19907,69952,5,0,False,True,0.25,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.25, 0.25, 0.0]"
2026-04-11_09-46-24_#28-0: task_5,36739,20893,57632,5,0,False,True,0.5,0.15,0.75,0.75,medium,"[0.5, 0.25, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#29-0: task_5,102846,13717,116563,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#30-0: task_2,76301,19590,95891,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#31-0: task_2,56900,8607,65507,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#32-0: task_3,51864,17896,69760,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#33-0: task_7,88034,23494,111528,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.67, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#34-0: task_2,114861,11062,125923,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#35-0: task_7,16697,8846,25543,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-04-11_09-46-24_#36-0: task_5,55476,23773,79249,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#37-0: task_1,9532,3664,13196,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-11_09-46-24_#38-0: task_5,54366,19514,73880,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#39-0: task_3,44065,22181,66246,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#40-0: task_4,35969,17289,53258,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#41-0: task_1,67585,18649,86234,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#42-0: task_1,69423,15194,84617,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#43-0: task_7,58892,24847,83739,5,0,False,True,0.33,0.132,0.66,0.66,hard,"[0.0, 0.0, 0.0, 0.33, 0.33]"
2026-04-11_09-46-24_#44-0: task_7,77946,25610,103556,8,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#45-0: task_3,25199,11141,36340,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#46-0: task_2,68366,14038,82404,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#47-0: task_1,35270,9729,44999,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-11_09-46-24_#48-0: task_2,105173,17982,123155,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-04-11_09-46-24_#49-0: task_5,48652,13855,62507,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.0, 0.25, 0.0]"
2026-04-11_09-46-24_#50-0: task_1,32147,8459,40606,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-04-11_09-46-24_#51-0: task_1,21808,9591,31399,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-04-11_09-46-24_#52-0: task_6,33989,13433,47422,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-11_09-46-24_#53-0: task_1,15612,8756,24368,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-11_09-46-24_#54-0: task_7,89955,18673,108628,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0, 0.0]"
2026-04-11_09-46-24_#55-0: task_5,28113,6752,34865,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-04-11_09-46-24_#56-0: task_7,70558,7675,78233,2,0,False,True,0.33,0.33,0.66,0.66,hard,"[0.33, 0.33]"
2026-04-11_09-46-24_#57-0: task_2,23929,6102,30031,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
