task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-12_16-10-02_#0-0: task_2,21705,11128,32833,3,1,True,False,1.0,0.333333,1.0,1.0,"[1.0, 0.0, 0.0]"
2026-01-04_15-08-28_#1-0: task_4,37352,14487,51839,6,0,False,True,0.5,0.333333,2.0,1.0,"[0.5, 0.5, 0.0, 0.5, 0.0, 0.5]"
2026-01-04_15-08-28_#2-0: task_2,30959,19550,50509,6,3,True,False,1.0,0.5,3.0,1.0,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
2026-01-04_15-08-28_#3-0: task_2,25513,20701,46214,5,2,True,False,1.0,0.4,2.0,1.0,"[1.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-04_15-08-28_#4-0: task_7,53440,34638,88078,9,0,False,True,0.67,0.257778,2.32,1.0,"[0.33, 0.33, 0.33, 0.0, 0.0, 0.33, 0.67, 0.0, 0.33]"
2026-01-04_15-08-28_#5-0: task_1,19407,4404,23811,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-04_15-08-28_#6-0: task_4,14800,8801,23601,3,0,False,True,0.5,0.166667,0.5,0.5,"[0.0, 0.0, 0.5]"
2026-01-04_15-08-28_#7-0: task_7,27554,25775,53329,5,0,False,True,0.33,0.132,0.66,0.66,"[0.0, 0.33, 0.0, 0.0, 0.33]"
2026-01-04_15-08-28_#8-0: task_5,23914,9373,33287,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_15-08-28_#9-0: task_1,26955,12964,39919,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_15-08-28_#10-0: task_1,24465,8209,32674,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_15-08-28_#11-0: task_6,29556,14596,44152,4,1,True,False,1.0,0.625,2.5,1.0,"[0.5, 1.0, 0.5, 0.5]"
2026-01-04_15-08-28_#12-0: task_7,28957,9197,38154,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-04_15-08-28_#13-0: task_1,42439,37847,80286,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_15-08-28_#14-0: task_1,10392,5130,15522,2,1,True,False,1.0,0.5,1.0,1.0,"[0.0, 1.0]"
