task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-14_21-27-05_#0-0: task_1,79359,9615,88974,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-14_21-27-05_#1-0: task_6,55953,12755,68708,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#2-0: task_6,49333,14552,63885,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#3-0: task_1,36209,17674,53883,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#4-0: task_6,29082,9683,38765,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-14_21-27-05_#5-0: task_5,88761,23089,111850,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#6-0: task_7,65042,9412,74454,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-14_21-27-05_#7-0: task_3,87817,22087,109904,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#8-0: task_7,61080,5697,66777,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-14_21-27-05_#9-0: task_6,25898,16240,42138,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#10-0: task_3,62092,27262,89354,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#11-0: task_1,42240,20761,63001,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#12-0: task_3,41596,19161,60757,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#13-0: task_4,38965,15625,54590,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#14-0: task_2,51473,15842,67315,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#15-0: task_4,72622,35558,108180,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#16-0: task_1,52625,35512,88137,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#17-0: task_6,105393,19387,124780,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#18-0: task_6,56885,26965,83850,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-14_21-27-05_#19-0: task_3,58492,29464,87956,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#20-0: task_5,39304,9903,49207,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#21-0: task_5,64840,33214,98054,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#22-0: task_1,97937,35770,133707,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-14_21-27-05_#23-0: task_7,58885,30458,89343,7,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#24-0: task_6,72537,23715,96252,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-01-14_21-27-05_#25-0: task_3,22811,16267,39078,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#26-0: task_7,106021,12423,118444,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#27-0: task_6,41971,16338,58309,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#28-0: task_5,42158,18892,61050,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#29-0: task_5,115675,13662,129337,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-14_21-27-05_#30-0: task_2,81288,40082,121370,9,1,True,False,1.0,0.111111,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-14_21-27-05_#31-0: task_2,96429,10695,107124,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#32-0: task_3,64604,19912,84516,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#33-0: task_7,64907,17110,82017,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#34-0: task_2,97369,9392,106761,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-14_21-27-05_#35-0: task_7,36661,8106,44767,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-14_21-27-05_#36-0: task_5,132060,29472,161532,7,0,False,True,0.5,0.071429,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#37-0: task_1,55769,6352,62121,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-14_21-27-05_#38-0: task_5,46886,24760,71646,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#39-0: task_3,33090,22095,55185,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-14_21-27-05_#40-0: task_4,56363,22995,79358,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#41-0: task_1,65491,18928,84419,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#42-0: task_1,68678,21864,90542,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#43-0: task_7,60143,21671,81814,6,0,False,True,0.33,0.11,0.66,0.66,hard,"[0.33, 0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-14_21-27-05_#44-0: task_7,71501,32808,104309,8,0,False,True,0.33,0.04125,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#45-0: task_3,25652,18255,43907,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#46-0: task_2,79812,17501,97313,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#47-0: task_1,39383,11362,50745,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-14_21-27-05_#48-0: task_2,92226,24650,116876,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#49-0: task_5,47353,23853,71206,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-14_21-27-05_#50-0: task_1,26887,4456,31343,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-14_21-27-05_#51-0: task_1,26969,5631,32600,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
