task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-28_18-32-35_#0-0: task_2,28845,5595,34440,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 1.0, 0.0]"
2026-01-28_18-32-35_#1-0: task_4,46495,27073,73568,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#2-0: task_2,33256,12702,45958,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#3-0: task_2,26667,25723,52390,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0]"
2026-01-28_18-32-35_#4-0: task_7,66833,34016,100849,8,0,False,True,0.33,0.04125,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0]"
2026-01-28_18-32-35_#5-0: task_1,34029,2467,36496,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-28_18-32-35_#6-0: task_4,14850,4427,19277,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#7-0: task_7,30750,25049,55799,5,0,False,True,0.33,0.132,0.66,0.66,hard,"[0.33, 0.0, 0.0, 0.0, 0.33]"
2026-01-28_18-32-35_#8-0: task_5,38406,3580,41986,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-28_18-32-35_#9-0: task_1,35289,7718,43007,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#10-0: task_1,38952,11032,49984,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-28_18-32-35_#11-0: task_6,40054,7333,47387,4,2,True,False,1.0,0.625,2.5,1.0,medium,"[0.5, 1.0, 0.0, 1.0]"
2026-01-28_18-32-35_#12-0: task_7,54219,3139,57358,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-28_18-32-35_#13-0: task_1,46533,26090,72623,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#14-0: task_1,10206,2868,13074,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-28_18-32-35_#15-0: task_7,39841,24798,64639,7,0,False,True,0.33,0.094286,0.66,0.66,hard,"[0.0, 0.33, 0.33, 0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#16-0: task_7,39330,35056,74386,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.33, 0.0, 0.0]"
2026-01-28_18-32-35_#17-0: task_2,12238,2939,15177,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-28_18-32-35_#18-0: task_2,22523,14790,37313,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0]"
2026-01-28_18-32-35_#19-0: task_4,45943,4581,50524,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#20-0: task_2,23726,9212,32938,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#21-0: task_7,30741,3021,33762,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-28_18-32-35_#22-0: task_4,29294,16079,45373,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[0.0, 0.5, 1.0, 0.5, 0.0, 0.0]"
2026-01-28_18-32-35_#23-0: task_1,47444,30888,78332,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#24-0: task_2,30774,8810,39584,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#25-0: task_4,14547,4185,18732,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-01-28_18-32-35_#26-0: task_3,27863,13058,40921,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#27-0: task_7,33647,4648,38295,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#28-0: task_7,39531,21855,61386,4,0,False,True,0.67,0.415,1.66,1.0,hard,"[0.33, 0.67, 0.33, 0.33]"
2026-01-28_18-32-35_#29-0: task_4,24262,15842,40104,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#30-0: task_3,20142,19293,39435,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-28_18-32-35_#31-0: task_4,35790,12866,48656,6,0,False,True,0.5,0.25,1.5,1.0,medium,"[0.5, 0.0, 0.0, 0.5, 0.5, 0.0]"
2026-01-28_18-32-35_#32-0: task_6,72012,4554,76566,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-01-28_18-32-35_#33-0: task_6,20538,8198,28736,4,0,False,True,0.5,0.5,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5]"
2026-01-28_18-32-35_#34-0: task_7,5923,2159,8082,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
