task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-16_08-31-50_#0-0: task_1,16403,7072,23475,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-16_08-31-50_#1-0: task_6,25272,10521,35793,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-16_08-31-50_#2-0: task_6,41335,17545,58880,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#3-0: task_1,22084,22482,44566,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-16_08-31-50_#4-0: task_6,18593,8521,27114,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-16_08-31-50_#5-0: task_5,67827,22629,90456,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#6-0: task_7,26914,11378,38292,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-16_08-31-50_#7-0: task_3,71395,15300,86695,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#8-0: task_7,29693,5369,35062,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-16_08-31-50_#9-0: task_6,26751,12817,39568,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#10-0: task_3,54606,33834,88440,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#11-0: task_1,37744,23022,60766,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#12-0: task_3,37694,23563,61257,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#13-0: task_4,26555,21197,47752,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#14-0: task_2,42204,15866,58070,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#15-0: task_4,61427,36501,97928,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-16_08-31-50_#16-0: task_1,47244,43621,90865,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
