task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-20_21-37-56_#0-0: task_1,78182,10650,88832,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-20_21-37-56_#1-0: task_6,50051,13338,63389,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-20_21-37-56_#2-0: task_6,47461,14926,62387,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#3-0: task_1,34450,16477,50927,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#4-0: task_6,28133,9482,37615,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-20_21-37-56_#5-0: task_5,85874,18577,104451,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#6-0: task_7,64180,8884,73064,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-20_21-37-56_#7-0: task_3,86577,12174,98751,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#8-0: task_7,59154,5111,64265,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-20_21-37-56_#9-0: task_6,24485,10447,34932,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#10-0: task_3,58117,24462,82579,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#11-0: task_1,40268,21415,61683,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#12-0: task_3,40194,30627,70821,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#13-0: task_4,29212,7640,36852,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-20_21-37-56_#14-0: task_2,49755,14659,64414,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#15-0: task_4,67746,36144,103890,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-20_21-37-56_#16-0: task_1,49083,30576,79659,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#17-0: task_6,102388,24342,126730,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#18-0: task_6,53575,33079,86654,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#19-0: task_3,55508,21625,77133,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#20-0: task_5,37812,15675,53487,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#21-0: task_5,61716,32019,93735,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#22-0: task_1,95133,35716,130849,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-20_21-37-56_#23-0: task_7,55072,30692,85764,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
