task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-01_23-16-45_#0-0: task_2,24999,8633,33632,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-04-01_23-16-45_#1-0: task_4,46605,30050,76655,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.0, 0.5, 0.0]"
2026-04-01_23-16-45_#2-0: task_2,33399,30190,63589,6,4,True,False,1.0,0.666667,4.0,1.0,easy,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
2026-04-01_23-16-45_#3-0: task_2,19081,14949,34030,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-04-01_23-16-45_#4-0: task_7,62962,41397,104359,8,0,False,True,0.33,0.0825,0.66,0.66,hard,"[0.0, 0.33, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#5-0: task_1,34030,15084,49114,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-01_23-16-45_#6-0: task_4,11024,10221,21245,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-01_23-16-45_#7-0: task_7,26932,19068,46000,4,0,False,True,0.33,0.0825,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0]"
2026-04-01_23-16-45_#8-0: task_5,38416,14065,52481,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-01_23-16-45_#9-0: task_1,31423,18502,49925,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#10-0: task_1,39199,17989,57188,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-01_23-16-45_#11-0: task_6,40280,15315,55595,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0]"
2026-04-01_23-16-45_#12-0: task_7,54207,6606,60813,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-01_23-16-45_#13-0: task_1,46810,37565,84375,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#14-0: task_1,9926,6468,16394,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-04-01_23-16-45_#15-0: task_7,32141,20214,52355,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0, 0.0]"
2026-04-01_23-16-45_#16-0: task_7,31617,19085,50702,4,0,False,True,0.67,0.3325,1.33,1.0,hard,"[0.33, 0.67, 0.0, 0.33]"
2026-04-01_23-16-45_#17-0: task_2,12212,11250,23462,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-04-01_23-16-45_#18-0: task_2,22747,9526,32273,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0]"
2026-04-01_23-16-45_#19-0: task_4,46028,14684,60712,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#20-0: task_2,28499,19222,47721,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#21-0: task_7,30773,12314,43087,1,0,False,True,0.67,0.67,0.67,0.67,hard,[0.67]
2026-04-01_23-16-45_#22-0: task_4,25475,20716,46191,5,1,True,False,1.0,0.3,1.5,1.0,medium,"[0.0, 0.0, 0.0, 1.0, 0.5]"
2026-04-01_23-16-45_#23-0: task_1,36014,15343,51357,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#24-0: task_2,30841,23990,54831,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#25-0: task_4,14596,12397,26993,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-04-01_23-16-45_#26-0: task_3,16481,8969,25450,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[0.0, 1.0]"
2026-04-01_23-16-45_#27-0: task_7,29713,13015,42728,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-04-01_23-16-45_#28-0: task_7,39839,22380,62219,4,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#29-0: task_4,16933,9321,26254,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-01_23-16-45_#30-0: task_3,16351,15054,31405,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#31-0: task_4,28048,17862,45910,4,1,True,False,1.0,0.375,1.5,1.0,medium,"[0.5, 0.0, 1.0, 0.0]"
2026-04-01_23-16-45_#32-0: task_6,71994,13312,85306,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-04-01_23-16-45_#33-0: task_6,16749,15124,31873,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-04-01_23-16-45_#34-0: task_7,5943,10099,16042,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-01_23-16-45_#35-0: task_6,32042,14547,46589,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-01_23-16-45_#36-0: task_4,20080,20101,40181,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-04-01_23-16-45_#37-0: task_2,51373,21115,72488,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0]"
2026-04-01_23-16-45_#38-0: task_2,37390,19790,57180,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-01_23-16-45_#39-0: task_3,19141,16364,35505,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 1.0, 0.0]"
2026-04-01_23-16-45_#40-0: task_2,23219,22890,46109,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0]"
