task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-20_21-34-33_#0-0: task_1,82408,7433,89841,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-20_21-34-33_#1-0: task_6,54321,8399,62720,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[0.0, 1.0]"
2026-01-20_21-34-33_#2-0: task_6,55565,15133,70698,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#3-0: task_1,42640,14956,57596,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#4-0: task_6,32495,9929,42424,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-20_21-34-33_#5-0: task_5,95809,21599,117408,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#6-0: task_7,68336,6638,74974,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-20_21-34-33_#7-0: task_3,94620,12672,107292,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#8-0: task_7,61249,2886,64135,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-20_21-34-33_#9-0: task_6,32696,14903,47599,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#10-0: task_3,74230,34252,108482,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#11-0: task_1,50445,21165,71610,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#12-0: task_3,50554,27365,77919,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#13-0: task_4,43475,13607,57082,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#14-0: task_2,57987,17896,75883,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#15-0: task_4,83690,28596,112286,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#16-0: task_1,65317,42514,107831,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#17-0: task_6,112530,21376,133906,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#18-0: task_6,65361,31357,96718,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#19-0: task_3,67761,16572,84333,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#20-0: task_5,43836,9223,53059,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-01-20_21-34-33_#21-0: task_5,76122,28788,104910,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-34-33_#22-0: task_1,109474,32342,141816,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-20_21-34-33_#23-0: task_7,69236,26065,95301,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0]"
