task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-06_21-29-34_#1-0: task_6,49196,525,49721,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_21-29-34_#2-0: task_6,48432,581,49013,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#3-0: task_1,35130,546,35676,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#4-0: task_6,28131,425,28556,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_21-29-34_#5-0: task_5,84738,587,85325,5,0,False,True,0.5,0.5,2.5,1.0,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-06_21-29-34_#6-0: task_7,62838,446,63284,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_21-29-34_#7-0: task_3,84878,505,85383,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#8-0: task_7,58349,320,58669,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-06_21-29-34_#9-0: task_6,25862,485,26347,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#10-0: task_3,59736,911,60647,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#11-0: task_1,41376,572,41948,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#12-0: task_3,41330,660,41990,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#13-0: task_4,37880,577,38457,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#14-0: task_2,49932,628,50560,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#15-0: task_4,69905,1203,71108,8,0,False,True,0.5,0.0625,0.5,0.5,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#16-0: task_1,51217,890,52107,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#17-0: task_6,99908,712,100620,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#18-0: task_6,55121,728,55849,6,0,False,True,0.5,0.083333,0.5,0.5,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#19-0: task_3,57129,924,58053,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#20-0: task_5,37687,504,38191,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#21-0: task_5,63440,939,64379,7,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#22-0: task_1,94301,858,95159,7,7,True,False,1.0,1.0,7.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-01-06_21-29-34_#23-0: task_7,57138,762,57900,7,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#24-0: task_6,70374,744,71118,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#25-0: task_3,22842,519,23361,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#26-0: task_7,101042,582,101624,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#27-0: task_6,40365,614,40979,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#28-0: task_5,40693,553,41246,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#29-0: task_5,110557,403,110960,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_21-29-34_#30-0: task_2,79536,904,80440,9,1,True,False,1.0,0.111111,1.0,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#31-0: task_2,92538,496,93034,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#32-0: task_3,62548,817,63365,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#33-0: task_7,63083,724,63807,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#34-0: task_2,92938,402,93340,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_21-29-34_#35-0: task_7,35875,528,36403,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_21-29-34_#36-0: task_5,126925,890,127815,7,0,False,True,0.5,0.142857,1.0,1.0,"[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#37-0: task_1,54034,289,54323,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-06_21-29-34_#38-0: task_5,45778,916,46694,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_21-29-34_#39-0: task_3,32031,598,32629,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
