task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-12_18-11-03_#0-0: task_2,91277,497,91774,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-01-05_20-15-13_#1-0: task_4,143261,838,144099,6,0,False,True,0.5,0.416667,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.0, 0.5]"
2026-01-05_20-15-13_#2-0: task_2,109360,974,110334,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#3-0: task_2,112394,780,113174,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-05_20-15-13_#4-0: task_7,144624,1368,145992,9,0,False,True,0.33,0.146667,1.32,1.0,hard,"[0.0, 0.33, 0.33, 0.0, 0.0, 0.33, 0.0, 0.33, 0.0]"
2026-01-05_20-15-13_#5-0: task_1,47910,282,48192,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-05_20-15-13_#6-0: task_4,50096,426,50522,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#7-0: task_7,130307,674,130981,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33, 0.0]"
2026-01-05_20-15-13_#8-0: task_5,58645,549,59194,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-05_20-15-13_#9-0: task_1,106846,729,107575,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#10-0: task_1,61223,387,61610,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-05_20-15-13_#11-0: task_6,106004,710,106714,4,1,True,False,1.0,0.5,2.0,1.0,medium,"[0.5, 1.0, 0.0, 0.5]"
2026-01-05_20-15-13_#12-0: task_7,43765,293,44058,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-05_20-15-13_#13-0: task_1,127591,1396,128987,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#14-0: task_1,29020,310,29330,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-05_20-15-13_#15-0: task_7,119616,832,120448,7,0,False,True,0.33,0.141429,0.99,0.99,hard,"[0.0, 0.33, 0.33, 0.0, 0.0, 0.33, 0.0]"
2026-01-05_20-15-13_#16-0: task_7,117804,909,118713,6,0,False,True,0.67,0.221667,1.33,1.0,hard,"[0.67, 0.33, 0.0, 0.0, 0.0, 0.33]"
2026-01-05_20-15-13_#17-0: task_2,34626,429,35055,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-05_20-15-13_#18-0: task_2,71543,653,72196,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0]"
2026-01-05_20-15-13_#19-0: task_4,56157,520,56677,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-05_20-15-13_#20-0: task_2,49068,538,49606,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#21-0: task_7,72000,398,72398,2,0,False,True,0.33,0.33,0.66,0.66,hard,"[0.33, 0.33]"
2026-01-05_20-15-13_#22-0: task_4,84227,963,85190,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#23-0: task_1,107954,1164,109118,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_20-15-13_#24-0: task_2,60322,745,61067,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0]"
2026-01-05_20-15-13_#25-0: task_4,30844,410,31254,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
