task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2026-01-06_14-32-44_#1-0: task_3,87506,685,88191,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#2-0: task_2,100337,540,100877,4,2,True,1.0,0.5,2.0,"[1.0, 0.0, 1.0, 0.0]"
2026-01-06_14-32-44_#3-0: task_6,71769,318,72087,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-44_#4-0: task_3,154843,886,155729,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#5-0: task_6,139306,810,140116,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#6-0: task_6,109149,745,109894,5,0,False,0.25,0.05,0.25,"[0.0, 0.0, 0.25, 0.0, 0.0]"
2026-01-06_14-32-44_#7-0: task_6,109929,740,110669,5,0,False,0.25,0.05,0.25,"[0.0, 0.0, 0.25, 0.0, 0.0]"
2026-01-06_14-32-44_#8-0: task_1,103655,883,104538,6,1,True,1.0,0.166667,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#9-0: task_5,123030,647,123677,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#10-0: task_6,95907,551,96458,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#11-0: task_2,47232,442,47674,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-44_#12-0: task_5,48925,467,49392,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#13-0: task_6,53038,458,53496,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#14-0: task_2,29666,171,29837,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_14-32-44_#15-0: task_2,67027,370,67397,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#16-0: task_4,42095,365,42460,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#17-0: task_4,49732,523,50255,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#18-0: task_3,83563,576,84139,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#19-0: task_6,40094,442,40536,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#20-0: task_6,80071,477,80548,3,0,False,0.5,0.166667,0.5,"[0.5, 0.0, 0.0]"
2026-01-06_14-32-44_#21-0: task_5,73401,711,74112,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#22-0: task_2,94282,567,94849,4,2,True,1.0,0.5,2.0,"[1.0, 0.0, 1.0, 0.0]"
2026-01-06_14-32-44_#23-0: task_6,121135,721,121856,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#24-0: task_3,50467,569,51036,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#25-0: task_7,40623,354,40977,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-44_#26-0: task_1,108592,725,109317,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#27-0: task_2,16862,216,17078,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_14-32-44_#28-0: task_7,63435,504,63939,3,0,False,0.67,0.223333,0.67,"[0.0, 0.67, 0.0]"
2026-01-06_14-32-44_#29-0: task_1,89713,436,90149,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#30-0: task_7,129284,685,129969,6,0,False,0.67,0.331667,1.99,"[0.0, 0.33, 0.33, 0.33, 0.67, 0.33]"
2026-01-06_14-32-44_#31-0: task_3,66588,529,67117,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#32-0: task_4,81470,553,82023,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#33-0: task_3,73628,649,74277,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#34-0: task_1,59733,389,60122,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-44_#35-0: task_2,33096,176,33272,1,0,False,0.0,0.0,0.0,[0.0]
