task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-16_19-24-40_#0-0: task_1,79298,11093,90391,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-16_19-24-40_#1-0: task_6,50893,10855,61748,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-16_19-24-40_#2-0: task_6,49116,22122,71238,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.5, 0.0, 0.0]"
2026-01-16_19-24-40_#3-0: task_1,35423,19742,55165,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_19-24-40_#4-0: task_6,28860,10790,39650,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-16_19-24-40_#5-0: task_5,88013,27433,115446,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-16_19-24-40_#6-0: task_7,64930,10928,75858,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-16_19-24-40_#7-0: task_3,87936,16237,104173,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_19-24-40_#8-0: task_7,61148,7240,68388,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-16_19-24-40_#9-0: task_6,25787,17828,43615,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-16_19-24-40_#10-0: task_3,60689,50498,111187,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
