task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-12_18-49-35_#0-0: task_6,24544,776,25320,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#1-0: task_1,15071,589,15660,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-06_20-12-13_#2-0: task_1,29577,812,30389,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#3-0: task_6,34666,925,35591,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[1.0, 0.5, 0.0, 0.0, 0.5, 0.0]"
2026-01-06_20-12-13_#4-0: task_3,29787,914,30701,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#5-0: task_2,34467,1103,35570,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#6-0: task_6,34929,1080,36009,6,0,False,True,0.25,0.083333,0.5,0.5,medium,"[0.25, 0.25, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#7-0: task_6,34701,828,35529,6,0,False,True,0.25,0.083333,0.5,0.5,medium,"[0.0, 0.25, 0.0, 0.0, 0.25, 0.0]"
2026-01-06_20-12-13_#8-0: task_5,18264,719,18983,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#9-0: task_4,17596,546,18142,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.0, 0.25]"
2026-01-06_20-12-13_#10-0: task_1,17965,598,18563,3,0,False,True,0.5,0.166667,0.5,0.5,easy,"[0.0, 0.5, 0.0]"
2026-01-06_20-12-13_#11-0: task_1,18636,712,19348,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#12-0: task_2,18073,740,18813,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#13-0: task_5,34684,1132,35816,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_20-12-13_#14-0: task_5,19981,941,20922,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
