task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-07_08-43-27_#1-0: task_1,12489,393,12882,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_08-43-27_#2-0: task_1,27211,722,27933,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#3-0: task_6,36717,797,37514,7,1,True,False,1.0,0.214286,1.5,1.0,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0]"
2026-01-07_08-43-27_#4-0: task_3,27616,932,28548,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#5-0: task_2,31559,696,32255,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#6-0: task_6,31357,741,32098,6,0,False,True,0.25,0.041667,0.25,0.25,"[0.25, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#7-0: task_6,31511,623,32134,6,0,False,True,0.25,0.125,0.75,0.75,"[0.0, 0.25, 0.0, 0.25, 0.25, 0.0]"
2026-01-07_08-43-27_#8-0: task_5,16101,430,16531,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#9-0: task_4,16846,550,17396,3,0,False,True,0.25,0.083333,0.25,0.25,"[0.0, 0.0, 0.25]"
2026-01-07_08-43-27_#10-0: task_1,16265,460,16725,3,0,False,True,0.5,0.166667,0.5,0.5,"[0.0, 0.0, 0.5]"
2026-01-07_08-43-27_#11-0: task_1,16879,576,17455,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_08-43-27_#12-0: task_2,20692,656,21348,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#13-0: task_5,31961,749,32710,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_08-43-27_#14-0: task_5,17406,501,17907,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
