task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-22_14-13-21_#0-0: task_2,0,0,0,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-01-22_14-13-21_#1-0: task_4,0,0,0,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0, 0.5, 0.5]"
2026-01-22_14-13-21_#2-0: task_2,0,0,0,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
2026-01-22_14-13-21_#3-0: task_2,0,0,0,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-22_14-13-21_#4-0: task_7,0,0,0,8,0,False,True,0.33,0.2475,1.98,1.0,hard,"[0.33, 0.33, 0.0, 0.33, 0.33, 0.0, 0.33, 0.33]"
2026-01-22_14-13-21_#5-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_14-13-21_#6-0: task_4,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#7-0: task_7,0,0,0,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#8-0: task_5,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_14-13-21_#9-0: task_1,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#10-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-13-21_#11-0: task_6,0,0,0,4,1,True,False,1.0,0.5,2.0,1.0,medium,"[1.0, 0.0, 0.5, 0.5]"
2026-01-22_14-13-21_#13-0: task_1,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#14-0: task_1,0,0,0,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_14-13-21_#15-0: task_7,0,0,0,7,0,False,True,0.33,0.235714,1.65,1.0,hard,"[0.33, 0.33, 0.0, 0.33, 0.33, 0.33, 0.0]"
2026-01-22_14-13-21_#16-0: task_7,0,0,0,6,0,False,True,0.33,0.055,0.33,0.33,hard,"[0.33, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#17-0: task_2,0,0,0,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_14-13-21_#18-0: task_2,0,0,0,4,3,True,False,1.0,0.75,3.0,1.0,easy,"[1.0, 1.0, 0.0, 1.0]"
2026-01-22_14-13-21_#19-0: task_4,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#20-0: task_2,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#21-0: task_7,0,0,0,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-01-22_14-13-21_#22-0: task_4,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#23-0: task_1,0,0,0,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#24-0: task_2,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-13-21_#25-0: task_4,0,0,0,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[0.5, 1.0]"
2026-01-22_14-13-21_#26-0: task_3,0,0,0,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#27-0: task_7,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-22_14-13-21_#28-0: task_7,0,0,0,5,0,False,True,0.67,0.134,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.67, 0.0]"
2026-01-22_14-13-21_#29-0: task_4,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#30-0: task_3,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#31-0: task_4,0,0,0,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0, 0.5, 0.5]"
2026-01-22_14-13-21_#32-0: task_6,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,medium,[1.0]
2026-01-22_14-13-21_#33-0: task_6,0,0,0,4,0,False,True,0.5,0.5,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5]"
2026-01-22_14-13-21_#34-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_14-13-21_#35-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-22_14-13-21_#36-0: task_4,0,0,0,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[1.0, 0.0]"
2026-01-22_14-13-21_#37-0: task_2,0,0,0,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_14-13-21_#38-0: task_2,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#39-0: task_3,0,0,0,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-01-22_14-13-21_#40-0: task_2,0,0,0,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[1.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-22_14-13-21_#41-0: task_1,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#42-0: task_5,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-22_14-13-21_#43-0: task_6,0,0,0,5,0,False,True,0.5,0.2,1.0,1.0,medium,"[0.0, 0.5, 0.0, 0.0, 0.5]"
2026-01-22_14-13-21_#44-0: task_5,0,0,0,4,1,True,False,1.0,0.375,1.5,1.0,medium,"[0.5, 0.0, 1.0, 0.0]"
2026-01-22_14-13-21_#45-0: task_1,0,0,0,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-13-21_#46-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_14-13-21_#47-0: task_3,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-22_14-13-21_#49-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-13-21_#50-0: task_5,0,0,0,5,0,False,True,0.5,0.2,1.0,1.0,medium,"[0.5, 0.5, 0.0, 0.0, 0.0]"
