task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-21_18-53-06_#0-0: task_1,106043,12099,118142,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-53-06_#1-0: task_6,67983,13283,81266,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-21_18-53-06_#2-0: task_6,67370,21389,88759,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-01-21_18-53-06_#3-0: task_1,46578,16852,63430,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#4-0: task_6,39739,14944,54683,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_18-53-06_#5-0: task_5,118944,27900,146844,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#6-0: task_7,85296,11125,96421,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-21_18-53-06_#7-0: task_3,115805,17651,133456,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0]"
2026-01-21_18-53-06_#8-0: task_7,82950,6938,89888,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-21_18-53-06_#9-0: task_6,35811,23045,58856,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#10-0: task_3,81994,33763,115757,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#11-0: task_1,53392,33173,86565,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#12-0: task_3,56477,21858,78335,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#13-0: task_4,53373,19220,72593,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#14-0: task_2,70959,27077,98036,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#15-0: task_4,93349,38436,131785,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-01-21_18-53-06_#16-0: task_1,70764,39054,109818,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#17-0: task_6,137924,24839,162763,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#18-0: task_6,76195,32440,108635,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#19-0: task_3,76458,30124,106582,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#20-0: task_5,50903,14293,65196,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#21-0: task_5,85172,28767,113939,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#22-0: task_1,129912,30609,160521,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-21_18-53-06_#23-0: task_7,76618,41656,118274,7,0,False,True,0.67,0.095714,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.67, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#24-0: task_6,94371,21632,116003,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-21_18-53-06_#25-0: task_3,29666,19954,49620,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#26-0: task_7,140645,15191,155836,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#27-0: task_6,56041,28388,84429,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-53-06_#28-0: task_5,56707,28610,85317,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.0, 0.0, 0.25]"
