task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-13_07-49-31_#0-0: task_2,22284,19800,42084,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-01-13_07-49-31_#1-0: task_4,38115,35517,73632,5,0,False,True,0.5,0.2,1.0,1.0,medium,"[0.5, 0.5, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#2-0: task_2,32269,35237,67506,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 1.0]"
2026-01-13_07-49-31_#3-0: task_2,25899,27390,53289,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#4-0: task_7,54254,61564,115818,7,0,False,True,0.33,0.094286,0.66,0.66,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0]"
2026-01-13_07-49-31_#5-0: task_1,20560,5618,26178,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-13_07-49-31_#6-0: task_4,15139,14336,29475,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#7-0: task_7,28161,30029,58190,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.33, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#8-0: task_5,24901,10487,35388,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-13_07-49-31_#9-0: task_1,27664,22320,49984,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#10-0: task_1,24999,20523,45522,0,0,False,False,0.0,0.0,0,0,easy,[]
2026-01-13_07-49-31_#11-0: task_6,30636,24278,54914,3,1,True,False,1.0,0.5,1.5,1.0,medium,"[1.0, 0.5, 0.0]"
2026-01-13_07-49-31_#12-0: task_7,30582,6188,36770,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-13_07-49-31_#13-0: task_1,43020,44410,87430,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#14-0: task_1,10554,6116,16670,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-13_07-49-31_#15-0: task_7,36555,29342,65897,7,0,False,True,0.33,0.141429,0.99,0.99,hard,"[0.0, 0.33, 0.33, 0.33, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#16-0: task_7,34889,34461,69350,6,1,True,False,1.0,0.221667,1.33,1.0,hard,"[1.0, 0.33, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#17-0: task_2,11629,8819,20448,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[0.0, 1.0]"
2026-01-13_07-49-31_#18-0: task_2,21401,19148,40549,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0]"
2026-01-13_07-49-31_#19-0: task_4,30817,18688,49505,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-13_07-49-31_#20-0: task_2,19363,21974,41337,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#21-0: task_7,21354,7739,29093,2,1,True,False,1.0,0.5,1.0,1.0,hard,"[0.0, 1.0]"
2026-01-13_07-49-31_#22-0: task_4,29408,28253,57661,6,0,False,True,0.5,0.166667,1.0,1.0,medium,"[0.0, 0.0, 0.5, 0.0, 0.5, 0.0]"
2026-01-13_07-49-31_#23-0: task_1,41138,35103,76241,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#24-0: task_2,25486,24491,49977,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#25-0: task_4,13044,14374,27418,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-01-13_07-49-31_#26-0: task_3,26466,23044,49510,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#27-0: task_7,24675,25012,49687,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-01-13_07-49-31_#28-0: task_7,16211,7856,24067,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-13_07-49-31_#29-0: task_4,21850,19011,40861,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-01-13_07-49-31_#30-0: task_3,19800,14726,34526,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#31-0: task_4,33295,41997,75292,5,1,True,False,1.0,0.2,1.0,1.0,medium,"[0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-13_07-49-31_#32-0: task_6,41411,9437,50848,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-01-13_07-49-31_#33-0: task_6,21135,13798,34933,4,0,False,True,0.5,0.5,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5]"
2026-01-13_07-49-31_#34-0: task_7,6494,5831,12325,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-13_07-49-31_#35-0: task_6,21570,15320,36890,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-13_07-49-31_#36-0: task_4,17861,24902,42763,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[0.0, 1.0]"
2026-01-13_07-49-31_#37-0: task_2,36290,21169,57459,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#38-0: task_2,41179,38769,79948,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#39-0: task_3,17232,17193,34425,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-01-13_07-49-31_#40-0: task_2,28425,21413,49838,6,4,True,False,1.0,0.666667,4.0,1.0,easy,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
2026-01-13_07-49-31_#41-0: task_1,25626,28926,54552,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#42-0: task_5,21038,16920,37958,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-01-13_07-49-31_#43-0: task_6,39900,28062,67962,5,0,False,True,0.5,0.3,1.5,1.0,medium,"[0.5, 0.0, 0.0, 0.5, 0.5]"
2026-01-13_07-49-31_#44-0: task_5,24842,27750,52592,5,1,True,False,1.0,0.2,1.0,1.0,medium,"[1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_07-49-31_#45-0: task_1,38638,27364,66002,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-13_07-49-31_#46-0: task_6,16262,12394,28656,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-13_07-49-31_#47-0: task_3,14378,6020,20398,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-13_07-49-31_#48-0: task_1,6356,5387,11743,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-13_07-49-31_#49-0: task_1,22335,21019,43354,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-01-13_07-49-31_#50-0: task_5,30141,31921,62062,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
