task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-09_07-59-29_#0-0: task_1,184540,7878,192418,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-09_07-59-29_#1-0: task_6,109800,10607,120407,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-09_07-59-29_#2-0: task_6,86822,10444,97266,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#3-0: task_1,55356,7966,63322,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#4-0: task_6,56963,5949,62912,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-09_07-59-29_#5-0: task_5,195941,15126,211067,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0]"
2026-04-09_07-59-29_#6-0: task_7,151634,7767,159401,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-04-09_07-59-29_#7-0: task_3,198851,12351,211202,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#8-0: task_7,154801,5552,160353,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_07-59-29_#9-0: task_6,33756,10960,44716,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#10-0: task_3,93009,17305,110314,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#11-0: task_1,68825,18938,87763,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#12-0: task_3,47914,22025,69939,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#13-0: task_4,73082,15740,88822,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#14-0: task_2,92066,13127,105193,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#15-0: task_4,105826,24104,129930,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#16-0: task_1,57129,19278,76407,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-04-09_07-59-29_#17-0: task_6,221615,14351,235966,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#18-0: task_6,90016,20805,110821,7,0,False,True,0.5,0.071429,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-04-09_07-59-29_#19-0: task_3,82197,12068,94265,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#20-0: task_5,68529,9807,78336,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#21-0: task_5,99041,17431,116472,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#22-0: task_1,186250,19253,205503,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#23-0: task_7,82092,25384,107476,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33]"
2026-04-09_07-59-29_#24-0: task_6,122861,15000,137861,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#25-0: task_3,27330,11537,38867,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#26-0: task_7,246724,9537,256261,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.33, 0.0, 0.0]"
2026-04-09_07-59-29_#27-0: task_6,62200,8878,71078,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#28-0: task_5,39959,10680,50639,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.25, 0.0, 0.0]"
2026-04-09_07-59-29_#29-0: task_5,281600,7396,288996,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-09_07-59-29_#30-0: task_2,116603,20414,137017,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#31-0: task_2,219566,10168,229734,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#32-0: task_3,116065,17134,133199,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#33-0: task_7,117421,13702,131123,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33, 0.0]"
2026-04-09_07-59-29_#34-0: task_2,232920,6736,239656,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-09_07-59-29_#35-0: task_7,71286,4895,76181,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-04-09_07-59-29_#36-0: task_5,270061,21808,291869,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#37-0: task_1,142341,7654,149995,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_07-59-29_#38-0: task_5,69314,16392,85706,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#39-0: task_3,61327,12938,74265,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#40-0: task_4,80779,12908,93687,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#41-0: task_1,117383,17534,134917,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#42-0: task_1,114818,15427,130245,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#43-0: task_7,95085,17732,112817,6,0,False,True,0.33,0.055,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#44-0: task_7,108583,24181,132764,8,0,False,True,0.67,0.08375,0.67,0.67,hard,"[0.0, 0.0, 0.67, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#45-0: task_3,43620,9394,53014,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#46-0: task_2,156554,15767,172321,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#47-0: task_1,78572,6952,85524,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-04-09_07-59-29_#48-0: task_2,180583,13350,193933,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0]"
2026-04-09_07-59-29_#49-0: task_5,71370,17242,88612,5,0,False,True,0.25,0.05,0.25,0.25,medium,"[0.0, 0.0, 0.25, 0.0, 0.0]"
2026-04-09_07-59-29_#50-0: task_1,55538,4275,59813,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-04-09_07-59-29_#51-0: task_1,32175,4851,37026,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-04-09_07-59-29_#52-0: task_6,48819,14859,63678,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#53-0: task_1,55418,7304,62722,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-09_07-59-29_#54-0: task_7,160111,17908,178019,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.33, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#55-0: task_5,119992,7784,127776,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[0.0, 1.0]"
2026-04-09_07-59-29_#56-0: task_7,244959,7773,252732,2,0,False,True,0.33,0.33,0.66,0.66,hard,"[0.33, 0.33]"
2026-04-09_07-59-29_#57-0: task_2,88936,6230,95166,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-09_07-59-29_#58-0: task_2,44521,3923,48444,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_07-59-29_#59-0: task_6,287254,14175,301429,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.0, 0.5, 0.0, 0.5]"
2026-04-09_07-59-29_#60-0: task_4,241917,9192,251109,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#61-0: task_5,97646,12045,109691,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#62-0: task_2,206471,7848,214319,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#63-0: task_3,159043,8628,167671,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-09_07-59-29_#64-0: task_5,145865,6312,152177,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_07-59-29_#65-0: task_7,60136,8899,69035,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-04-09_07-59-29_#66-0: task_5,38636,9751,48387,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.5, 0.0, 0.0]"
2026-04-09_07-59-29_#67-0: task_4,42413,6229,48642,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-09_07-59-29_#68-0: task_2,129179,13476,142655,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#69-0: task_5,73129,16540,89669,5,1,True,False,1.0,0.2,1.0,1.0,medium,"[1.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#70-0: task_7,77619,8702,86321,3,1,True,False,1.0,0.553333,1.66,1.0,hard,"[1.0, 0.33, 0.33]"
2026-04-09_07-59-29_#71-0: task_6,105154,8051,113205,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-09_07-59-29_#72-0: task_6,47190,20832,68022,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-04-09_07-59-29_#73-0: task_2,34654,4031,38685,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_07-59-29_#74-0: task_4,50038,26571,76609,8,1,True,False,1.0,0.1875,1.5,1.0,medium,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-04-09_07-59-29_#75-0: task_6,52431,17098,69529,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.0, 0.0, 1.0, 0.5, 0.0, 0.0]"
2026-04-09_07-59-29_#76-0: task_6,94467,8825,103292,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-09_07-59-29_#77-0: task_3,83411,10705,94116,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0]"
