task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-02-11_21-00-21_#0-0: task_1,16384,6799,23183,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-11_21-00-21_#1-0: task_6,34250,6045,40295,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-11_21-00-21_#2-0: task_6,55819,17342,73161,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#3-0: task_1,23014,7504,30518,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#4-0: task_6,18460,5180,23640,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-11_21-00-21_#5-0: task_5,103334,20274,123608,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#6-0: task_7,33874,5903,39777,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-02-11_21-00-21_#7-0: task_3,115298,13993,129291,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#8-0: task_7,48854,4794,53648,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-02-11_21-00-21_#9-0: task_6,25696,9092,34788,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#10-0: task_3,67577,24735,92312,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#11-0: task_1,42202,23878,66080,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#12-0: task_3,32894,16939,49833,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#13-0: task_4,25981,19079,45060,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#14-0: task_2,55355,11582,66937,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#15-0: task_4,73984,24314,98298,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-02-11_21-00-21_#16-0: task_1,47489,22354,69843,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#17-0: task_6,112663,19985,132648,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5]"
2026-02-11_21-00-21_#18-0: task_6,69152,27521,96673,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-11_21-00-21_#19-0: task_3,25434,16812,42246,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
