task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-22_12-28-09_#0-0: task_2,30220,24024,54244,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-01-22_12-28-09_#1-0: task_4,53863,20126,73989,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[0.5, 0.5, 1.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#2-0: task_2,40752,27371,68123,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
2026-01-22_12-28-09_#3-0: task_2,35069,31310,66379,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#4-0: task_7,74691,40787,115478,9,0,False,True,0.33,0.183333,1.65,1.0,hard,"[0.0, 0.33, 0.0, 0.0, 0.33, 0.33, 0.0, 0.33, 0.33]"
2026-01-22_12-28-09_#5-0: task_1,28269,7603,35872,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_12-28-09_#6-0: task_4,19925,12086,32011,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-22_12-28-09_#7-0: task_7,38195,40097,78292,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#8-0: task_5,34114,11386,45500,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_12-28-09_#9-0: task_1,36739,29672,66411,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#10-0: task_1,33620,15705,49325,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_12-28-09_#11-0: task_6,40985,26385,67370,4,1,True,False,1.0,0.25,1.0,1.0,medium,"[1.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#12-0: task_7,42624,6386,49010,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_12-28-09_#13-0: task_1,60998,49583,110581,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#14-0: task_1,13853,9714,23567,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_12-28-09_#15-0: task_7,50217,38595,88812,6,0,False,True,0.33,0.11,0.66,0.66,hard,"[0.0, 0.33, 0.0, 0.0, 0.0, 0.33]"
2026-01-22_12-28-09_#16-0: task_7,45965,35302,81267,6,0,False,True,0.67,0.221667,1.33,1.0,hard,"[0.67, 0.0, 0.33, 0.0, 0.33, 0.0]"
2026-01-22_12-28-09_#17-0: task_2,15903,11927,27830,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_12-28-09_#18-0: task_2,28678,17517,46195,4,3,True,False,1.0,0.75,3.0,1.0,easy,"[0.0, 1.0, 1.0, 1.0]"
2026-01-22_12-28-09_#19-0: task_4,44524,14409,58933,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-22_12-28-09_#20-0: task_2,26527,14978,41505,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#21-0: task_7,28238,10684,38922,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-22_12-28-09_#22-0: task_4,37951,33822,71773,6,0,False,True,0.5,0.166667,1.0,1.0,medium,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-22_12-28-09_#23-0: task_1,54635,34269,88904,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#24-0: task_2,33261,24515,57776,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#25-0: task_4,16676,10054,26730,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-01-22_12-28-09_#26-0: task_3,33946,36892,70838,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#27-0: task_7,32981,17447,50428,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#28-0: task_7,42754,22808,65562,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#29-0: task_4,29126,23187,52313,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#30-0: task_3,25488,19702,45190,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_12-28-09_#31-0: task_4,42593,35691,78284,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[0.0, 0.0, 0.5, 0.0, 0.5, 1.0]"
2026-01-22_12-28-09_#32-0: task_6,58125,10619,68744,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[0.5, 1.0]"
2026-01-22_12-28-09_#33-0: task_6,26584,15154,41738,4,0,False,True,0.5,0.5,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5]"
2026-01-22_12-28-09_#34-0: task_7,9279,5597,14876,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_12-28-09_#35-0: task_6,28649,16154,44803,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_12-28-09_#36-0: task_4,24234,11560,35794,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
