task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-05_15-53-20_#1-0: task_6,51213,13493,64706,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_15-53-20_#2-0: task_6,49913,17545,67458,4,0,False,True,0.5,0.25,1.0,1.0,"[0.5, 0.5, 0.0, 0.0]"
2026-01-05_15-53-20_#3-0: task_1,36564,15224,51788,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#4-0: task_6,29552,7488,37040,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_15-53-20_#5-0: task_5,88874,14076,102950,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#6-0: task_7,65005,10361,75366,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_15-53-20_#7-0: task_3,87999,21610,109609,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#8-0: task_7,59878,4799,64677,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-05_15-53-20_#9-0: task_6,26108,17431,43539,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#10-0: task_3,62151,27701,89852,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#11-0: task_1,42792,23090,65882,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#12-0: task_3,42857,15550,58407,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#13-0: task_4,39192,12078,51270,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#14-0: task_2,52142,14118,66260,4,1,True,False,1.0,0.25,1.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
2026-01-05_15-53-20_#15-0: task_4,72171,32652,104823,8,0,False,True,0.5,0.0625,0.5,0.5,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#16-0: task_1,52667,33315,85982,8,1,True,False,1.0,0.125,1.0,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#17-0: task_6,104970,21153,126123,5,0,False,True,0.5,0.1,0.5,0.5,"[0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-05_15-53-20_#18-0: task_6,55990,36151,92141,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#19-0: task_3,58462,19401,77863,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#20-0: task_5,39647,13023,52670,3,0,False,True,0.5,0.166667,0.5,0.5,"[0.0, 0.0, 0.5]"
2026-01-05_15-53-20_#21-0: task_5,65074,31495,96569,7,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#22-0: task_1,98189,35794,133983,7,1,True,False,1.0,0.142857,1.0,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#23-0: task_7,58790,31664,90454,7,0,False,True,0.33,0.047143,0.33,0.33,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-05_15-53-20_#24-0: task_6,73133,25887,99020,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#25-0: task_3,22745,21915,44660,4,1,True,False,1.0,0.25,1.0,1.0,"[0.0, 1.0, 0.0, 0.0]"
2026-01-05_15-53-20_#26-0: task_7,105557,13541,119098,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#27-0: task_6,29315,5088,34403,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-05_15-53-20_#28-0: task_5,42128,19291,61419,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#29-0: task_5,96317,4806,101123,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-05_15-53-20_#30-0: task_2,82342,32857,115199,9,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#31-0: task_2,96729,12083,108812,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#32-0: task_3,64008,19043,83051,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#33-0: task_7,65204,17056,82260,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#34-0: task_2,97008,11590,108598,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_15-53-20_#35-0: task_7,36799,8315,45114,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_15-53-20_#36-0: task_5,91334,6233,97567,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-05_15-53-20_#37-0: task_1,55289,3458,58747,1,1,True,False,1.0,1.0,1.0,1.0,[1.0]
2026-01-05_15-53-20_#38-0: task_5,46972,23508,70480,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#39-0: task_3,33434,23566,57000,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#40-0: task_4,56657,19579,76236,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#41-0: task_1,65357,14534,79891,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#42-0: task_1,69017,16905,85922,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#43-0: task_7,38515,4263,42778,1,0,False,True,0.33,0.33,0.33,0.33,[0.33]
2026-01-05_15-53-20_#44-0: task_7,72735,33048,105783,8,0,False,True,0.33,0.04125,0.33,0.33,"[0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#45-0: task_3,25517,11306,36823,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#46-0: task_2,79450,25685,105135,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#47-0: task_1,39123,12763,51886,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-05_15-53-20_#48-0: task_2,93387,22730,116117,6,1,True,False,1.0,0.166667,1.0,1.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-05_15-53-20_#49-0: task_5,47323,24428,71751,5,0,False,True,0.25,0.05,0.25,0.25,"[0.25, 0.0, 0.0, 0.0, 0.0]"
2026-01-05_15-53-20_#50-0: task_1,26669,4240,30909,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-05_15-53-20_#51-0: task_1,26569,6221,32790,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
