task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-24_08-22-24_#0-0: task_1,77415,17421,94836,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-24_08-22-24_#1-0: task_6,48935,15062,63997,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-24_08-22-24_#2-0: task_6,45584,16285,61869,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5]"
2026-01-24_08-22-24_#3-0: task_1,31766,28145,59911,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#4-0: task_6,26869,14380,41249,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-24_08-22-24_#5-0: task_5,83537,29327,112864,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#6-0: task_7,62938,12459,75397,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-24_08-22-24_#7-0: task_3,83940,23252,107192,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#8-0: task_7,60303,11224,71527,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-24_08-22-24_#9-0: task_6,22237,20817,43054,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#10-0: task_3,53261,58023,111284,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#11-0: task_1,37046,36697,73743,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#12-0: task_3,36979,32386,69365,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#13-0: task_4,35663,20224,55887,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#14-0: task_2,47177,24088,71265,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_08-22-24_#15-0: task_4,64151,44674,108825,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-24_11-17-58_#16-0: task_1,41606,47006,88612,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-24_11-17-58_#17-0: task_6,99600,25889,125489,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-24_11-17-58_#18-0: task_6,50868,31900,82768,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
