task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-18_07-43-29_#0-0: task_3,31402,19309,50711,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#1-0: task_3,31390,23450,54840,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#2-0: task_2,23540,11166,34706,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 1.0, 0.0]"
2026-03-18_07-43-29_#3-0: task_6,16383,8941,25324,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-18_07-43-29_#4-0: task_3,30136,15409,45545,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#5-0: task_6,30176,15249,45425,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#6-0: task_6,31028,29365,60393,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.0, 0.25]"
2026-03-18_07-43-29_#7-0: task_6,31040,35966,67006,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.0, 0.25]"
2026-03-18_07-43-29_#8-0: task_1,23426,22382,45808,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-03-18_07-43-29_#9-0: task_5,16306,11064,27370,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-18_07-43-29_#10-0: task_6,40286,18117,58403,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#11-0: task_2,29551,13800,43351,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#12-0: task_5,9259,5174,14433,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-18_07-43-29_#13-0: task_6,9220,3152,12372,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-18_07-43-29_#14-0: task_2,11664,3820,15484,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-18_07-43-29_#15-0: task_2,5916,12839,18755,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-18_07-43-29_#16-0: task_4,5930,8002,13932,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-18_07-43-29_#17-0: task_4,22569,8771,31340,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-18_07-43-29_#18-0: task_3,16372,7866,24238,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-18_07-43-29_#19-0: task_6,9014,8043,17057,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-18_07-43-29_#20-0: task_6,13078,8864,21942,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-18_07-43-29_#21-0: task_5,37347,15476,52823,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#22-0: task_2,23222,9805,33027,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 0.0, 1.0]"
2026-03-18_07-43-29_#23-0: task_6,42367,26087,68454,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-18_07-43-29_#24-0: task_3,31282,23246,54528,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#25-0: task_7,9020,8635,17655,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-03-18_07-43-29_#26-0: task_1,23790,10486,34276,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#27-0: task_2,8758,4347,13105,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-18_07-43-29_#28-0: task_7,23273,9331,32604,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#29-0: task_1,22849,9878,32727,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#30-0: task_7,23978,15450,39428,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-03-18_07-43-29_#31-0: task_3,9221,3981,13202,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-18_07-43-29_#32-0: task_4,32708,18379,51087,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-18_07-43-29_#33-0: task_3,23607,17950,41557,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-18_07-43-29_#34-0: task_1,22503,12613,35116,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#35-0: task_2,8254,5703,13957,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-18_07-43-29_#36-0: task_5,16428,8635,25063,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-18_07-43-29_#37-0: task_6,31616,12301,43917,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#38-0: task_3,23600,12430,36030,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#39-0: task_2,32377,12614,44991,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-18_07-43-29_#40-0: task_6,30683,18907,49590,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-18_07-43-29_#41-0: task_4,15931,6455,22386,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-18_07-43-29_#42-0: task_4,31685,10430,42115,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-03-18_07-43-29_#43-0: task_6,12064,4210,16274,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-03-18_07-43-29_#44-0: task_4,46107,32229,78336,5,1,True,False,1.0,0.2,1.0,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 1.0]"
