task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-02-03_15-35-40_#0-0: task_1,149700,9571,159271,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-03_15-35-40_#1-0: task_6,93275,11605,104880,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-03_15-35-40_#2-0: task_6,78564,18390,96954,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-02-03_15-35-40_#3-0: task_1,52723,10620,63343,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#4-0: task_6,57314,14029,71343,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#5-0: task_5,166783,22814,189597,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-02-03_15-35-40_#6-0: task_7,127541,8794,136335,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-02-03_15-35-40_#7-0: task_3,164658,21594,186252,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#8-0: task_7,106553,6291,112844,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-02-03_15-35-40_#9-0: task_6,41815,16799,58614,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#10-0: task_3,91677,32020,123697,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#11-0: task_1,73251,35728,108979,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#12-0: task_3,52455,21437,73892,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#13-0: task_4,70699,18606,89305,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#14-0: task_2,85795,12418,98213,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#15-0: task_4,118108,34411,152519,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#16-0: task_1,75955,39918,115873,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#17-0: task_6,166834,5382,172216,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-02-03_15-35-40_#18-0: task_6,94065,33491,127556,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-02-03_15-35-40_#19-0: task_3,82322,15461,97783,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#20-0: task_5,69853,11849,81702,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-03_15-35-40_#21-0: task_5,102632,32684,135316,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
