task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-07_23-38-49_#0-0: task_3,21641,10370,32011,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#1-0: task_3,21656,8996,30652,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#2-0: task_2,16444,2385,18829,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-04-07_23-38-49_#3-0: task_6,11323,6309,17632,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_23-38-49_#4-0: task_3,21546,3868,25414,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#5-0: task_6,21648,3599,25247,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#6-0: task_6,21999,4750,26749,4,0,False,True,0.25,0.1875,0.75,0.75,medium,"[0.0, 0.25, 0.25, 0.25]"
2026-04-07_23-38-49_#7-0: task_6,21924,6038,27962,4,0,False,True,0.25,0.1875,0.75,0.75,medium,"[0.0, 0.25, 0.25, 0.25]"
2026-04-07_23-38-49_#8-0: task_1,16982,2535,19517,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-04-07_23-38-49_#9-0: task_5,11479,1647,13126,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_23-38-49_#10-0: task_6,21405,10328,31733,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#11-0: task_2,21290,9867,31157,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#12-0: task_5,6448,1289,7737,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_23-38-49_#13-0: task_6,6457,2947,9404,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_23-38-49_#14-0: task_2,6293,1043,7336,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_23-38-49_#15-0: task_2,6018,5242,11260,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-04-07_23-38-49_#16-0: task_4,6046,2131,8177,1,0,False,True,0.25,0.25,0.25,0.25,medium,[0.25]
2026-04-07_23-38-49_#17-0: task_4,11532,3035,14567,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_23-38-49_#18-0: task_3,11519,3674,15193,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_23-38-49_#19-0: task_6,10971,6602,17573,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_23-38-49_#20-0: task_6,11241,3505,14746,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-04-07_23-38-49_#21-0: task_5,27091,6566,33657,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#22-0: task_2,16553,4320,20873,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-04-07_23-38-49_#23-0: task_6,21515,7590,29105,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#24-0: task_3,21808,6500,28308,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#25-0: task_7,6298,1218,7516,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-07_23-38-49_#26-0: task_1,16915,4805,21720,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#27-0: task_2,6184,2211,8395,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_23-38-49_#28-0: task_7,16237,7878,24115,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-04-07_23-38-49_#29-0: task_1,16495,5636,22131,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_23-38-49_#30-0: task_7,16944,4963,21907,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-04-07_23-38-49_#31-0: task_3,6457,2941,9398,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
