task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-02-02_17-50-38_#65-0: task_7,63530,7085,70615,3,0,False,True,0.17,0.113333,0.34,0.34,hard,"[0.17, 0.17, 0.0]"
2026-02-02_17-50-38_#66-0: task_5,39324,15118,54442,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.25, 0.0]"
2026-02-02_17-50-38_#67-0: task_4,70938,10289,81227,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-02_17-50-38_#68-0: task_2,138656,34056,172712,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0, 0.0]"
2026-02-02_17-50-38_#69-0: task_5,68823,15640,84463,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-02-02_17-50-38_#70-0: task_7,68982,15668,84650,3,0,False,True,0.67,0.223333,0.67,0.67,hard,"[0.0, 0.67, 0.0]"
2026-02-02_17-50-38_#71-0: task_6,84963,7722,92685,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-02-02_17-50-38_#72-0: task_6,66842,26333,93175,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[0.0, 0.5, 1.0, 0.0, 0.0, 0.5]"
2026-02-02_17-50-38_#73-0: task_2,31564,6725,38289,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-02-02_17-50-38_#74-0: task_4,65767,42203,107970,8,0,False,True,0.5,0.1875,1.5,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5]"
2026-02-02_17-50-38_#75-0: task_6,72201,32221,104422,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.0, 0.5, 0.5, 0.5, 0.0, 0.5]"
2026-02-02_17-50-38_#76-0: task_6,106284,16687,122971,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-02-02_17-50-38_#77-0: task_3,89343,20562,109905,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-02_17-50-38_#78-0: task_4,159963,4202,164165,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-02-02_21-10-45_#79-0: task_5,83929,8980,92909,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-02_21-10-45_#80-0: task_4,140787,9910,150697,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-02-02_21-10-45_#81-0: task_1,104502,17541,122043,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-02_21-10-45_#82-0: task_2,107782,28913,136695,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
2026-02-02_21-10-45_#83-0: task_2,167942,6053,173995,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-02-02_21-10-45_#84-0: task_1,27228,5094,32322,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-02-02_21-10-45_#85-0: task_3,62724,17777,80501,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-02_21-10-45_#86-0: task_1,64652,22438,87090,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-02_21-10-45_#87-0: task_5,101188,4604,105792,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-02-02_21-10-45_#88-0: task_5,92481,10415,102896,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[0.0, 1.0]"
2026-02-02_21-10-45_#89-0: task_2,72510,16437,88947,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-02_21-10-45_#90-0: task_5,162517,6348,168865,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-02-02_21-10-45_#91-0: task_2,80839,24428,105267,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-02-02_21-10-45_#92-0: task_1,86442,5661,92103,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-02-02_21-10-45_#93-0: task_1,54466,5427,59893,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-02-03_07-44-07_#94-0: task_1,76983,9437,86420,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-02-03_07-44-07_#95-0: task_1,76164,17926,94090,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-03_07-44-07_#96-0: task_7,153088,10346,163434,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-02-03_07-44-07_#97-0: task_3,53937,4921,58858,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-02-03_07-44-07_#98-0: task_2,77590,10371,87961,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-03_08-20-14_#99-0: task_3,94582,17235,111817,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-03_08-20-14_#100-0: task_6,96561,16856,113417,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0]"
