task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-14_18-57-30_#0-0: task_2,23372,14845,38217,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 0.0, 1.0]"
2026-03-14_18-57-30_#1-0: task_4,43095,31284,74379,5,0,False,True,0.5,0.2,1.0,1.0,medium,"[0.0, 0.5, 0.0, 0.5, 0.0]"
2026-03-14_18-57-30_#2-0: task_2,36053,26990,63043,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#3-0: task_2,28608,24313,52921,5,4,True,False,1.0,0.8,4.0,1.0,easy,"[1.0, 1.0, 1.0, 1.0, 0.0]"
2026-03-14_18-57-30_#4-0: task_7,61026,40992,102018,9,0,False,True,0.33,0.256667,2.31,1.0,hard,"[0.33, 0.33, 0.0, 0.0, 0.33, 0.33, 0.33, 0.33, 0.33]"
2026-03-14_18-57-30_#5-0: task_1,19696,7438,27134,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-14_18-57-30_#6-0: task_4,12478,9801,22279,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-14_18-57-30_#7-0: task_7,26708,25043,51751,3,1,True,False,1.0,0.553333,1.66,1.0,hard,"[1.0, 0.33, 0.33]"
2026-03-14_18-57-30_#8-0: task_5,25795,6448,32243,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-14_18-57-30_#9-0: task_1,31006,22084,53090,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#10-0: task_1,25098,6252,31350,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-14_18-57-30_#11-0: task_6,33142,20148,53290,3,1,True,False,1.0,0.5,1.5,1.0,medium,"[0.0, 1.0, 0.5]"
2026-03-14_18-57-30_#12-0: task_7,26559,6746,33305,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-14_18-57-30_#13-0: task_1,48436,38401,86837,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#14-0: task_1,7438,4189,11627,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-14_18-57-30_#15-0: task_7,41914,36042,77956,7,0,False,True,0.33,0.33,2.31,1.0,hard,"[0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33]"
2026-03-14_18-57-30_#16-0: task_7,38027,26044,64071,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.67, 0.0, 0.0]"
2026-03-14_18-57-30_#17-0: task_2,13380,10490,23870,2,2,True,False,1.0,1.0,2.0,1.0,easy,"[1.0, 1.0]"
2026-03-14_18-57-30_#18-0: task_2,24266,14408,38674,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0]"
2026-03-14_18-57-30_#19-0: task_4,32927,16544,49471,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#20-0: task_2,21424,16240,37664,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#21-0: task_7,22389,10332,32721,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-03-14_18-57-30_#22-0: task_4,33158,24330,57488,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-03-14_18-57-30_#23-0: task_1,36256,26812,63068,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#24-0: task_2,28431,16006,44437,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#25-0: task_4,14912,8704,23616,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-03-14_18-57-30_#26-0: task_3,29307,16529,45836,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-03-14_18-57-30_#27-0: task_7,22027,10902,32929,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-14_18-57-30_#28-0: task_7,37248,30565,67813,4,0,False,True,0.33,0.33,1.32,1.0,hard,"[0.33, 0.33, 0.33, 0.33]"
2026-03-14_18-57-30_#29-0: task_4,24218,16813,41031,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#30-0: task_3,23486,11770,35256,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-14_18-57-30_#31-0: task_4,32311,23602,55913,5,0,False,True,0.5,0.4,2.0,1.0,medium,"[0.5, 0.0, 0.5, 0.5, 0.5]"
2026-03-14_18-57-30_#32-0: task_6,36240,12886,49126,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-03-14_18-57-30_#33-0: task_6,23362,13925,37287,4,0,False,True,0.5,0.375,1.5,1.0,medium,"[0.5, 0.5, 0.0, 0.5]"
2026-03-14_18-57-30_#34-0: task_7,7400,3190,10590,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-14_18-57-30_#35-0: task_6,24163,15701,39864,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-14_18-57-30_#36-0: task_4,20574,18018,38592,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.5, 0.0, 0.0]"
