task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-12_16-31-02_#0-0: task_3,22671,18658,41329,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#1-0: task_3,22804,17891,40695,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#2-0: task_2,22709,16659,39368,4,2,True,False,1.0,0.5,2.0,1.0,"[1.0, 0.0, 0.0, 1.0]"
2026-01-04_22-32-04_#3-0: task_6,12885,12410,25295,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_22-32-04_#4-0: task_3,32827,27951,60778,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#5-0: task_6,32962,23423,56385,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#6-0: task_6,28084,20721,48805,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#7-0: task_6,28158,19903,48061,5,0,False,True,0.25,0.05,0.25,0.25,"[0.0, 0.25, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#8-0: task_1,32712,23721,56433,6,1,True,False,1.0,0.166667,1.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-04_22-32-04_#9-0: task_5,32601,17363,49964,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#10-0: task_6,22298,18961,41259,4,0,False,True,0.5,0.1875,0.75,0.75,"[0.0, 0.25, 0.5, 0.0]"
2026-01-04_22-32-04_#11-0: task_2,22388,16208,38596,4,0,False,True,0.5,0.125,0.5,0.5,"[0.0, 0.0, 0.0, 0.5]"
2026-01-04_22-32-04_#12-0: task_5,17009,10787,27796,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#13-0: task_6,17180,10756,27936,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#14-0: task_2,6687,2610,9297,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-04_22-32-04_#15-0: task_2,16681,10125,26806,3,0,False,True,0.5,0.166667,0.5,0.5,"[0.0, 0.0, 0.5]"
2026-01-04_22-32-04_#16-0: task_4,16538,16630,33168,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#17-0: task_4,22567,15502,38069,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_22-32-04_#18-0: task_3,21951,16050,38001,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
