task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-29_09-56-46_#0-0: task_3,25019,4978,29997,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#1-0: task_3,21851,13374,35225,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#2-0: task_2,18480,3785,22265,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-03-29_09-56-46_#3-0: task_6,12238,1662,13900,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#4-0: task_3,23735,4321,28056,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#5-0: task_6,21203,3848,25051,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#6-0: task_6,24857,4527,29384,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.25, 0.0, 0.0]"
2026-03-29_09-56-46_#7-0: task_6,21702,19399,41101,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.0, 0.25]"
2026-03-29_09-56-46_#8-0: task_1,19559,3649,23208,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-03-29_09-56-46_#9-0: task_5,13241,2431,15672,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#10-0: task_6,23391,11913,35304,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#11-0: task_2,21014,14927,35941,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#12-0: task_5,7325,1727,9052,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#13-0: task_6,7444,1169,8613,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#14-0: task_2,7177,1036,8213,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_09-56-46_#15-0: task_2,15124,16377,31501,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-03-29_09-56-46_#16-0: task_4,5798,6205,12003,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#17-0: task_4,12754,2857,15611,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#18-0: task_3,11304,2905,14209,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#19-0: task_6,7418,1936,9354,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#20-0: task_6,12682,2271,14953,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-29_09-56-46_#21-0: task_5,29679,7582,37261,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#22-0: task_2,18896,4986,23882,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 1.0, 0.0]"
2026-03-29_09-56-46_#23-0: task_6,23813,7776,31589,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#24-0: task_3,24440,3047,27487,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#25-0: task_7,7011,2168,9179,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-29_09-56-46_#26-0: task_1,18845,2342,21187,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#27-0: task_2,7157,1268,8425,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_09-56-46_#28-0: task_7,18387,6532,24919,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-03-29_09-56-46_#29-0: task_1,17984,3840,21824,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#30-0: task_7,18906,5054,23960,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-03-29_09-56-46_#31-0: task_3,6430,1343,7773,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_09-56-46_#32-0: task_4,18544,2714,21258,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#33-0: task_3,16390,2797,19187,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#34-0: task_1,17762,15581,33343,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#35-0: task_2,6805,1310,8115,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_09-56-46_#36-0: task_5,13186,6300,19486,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-03-29_09-56-46_#37-0: task_6,18541,5436,23977,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#38-0: task_3,18344,2604,20948,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#39-0: task_2,18620,10389,29009,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#40-0: task_6,24214,5195,29409,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#41-0: task_4,12607,3740,16347,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#42-0: task_4,18108,2958,21066,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#43-0: task_6,6704,1472,8176,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#44-0: task_4,35401,8620,44021,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.5]"
2026-03-29_09-56-46_#45-0: task_2,6509,2036,8545,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-29_09-56-46_#46-0: task_3,23474,6742,30216,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#47-0: task_2,18324,4258,22582,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#48-0: task_2,12482,2052,14534,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#49-0: task_6,11175,1821,12996,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#50-0: task_5,12747,2141,14888,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#51-0: task_5,12572,9469,22041,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#52-0: task_3,11188,2340,13528,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#53-0: task_6,17966,2571,20537,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#54-0: task_5,12646,3159,15805,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#55-0: task_3,18263,4377,22640,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#56-0: task_2,18560,3822,22382,3,0,False,True,0.5,0.166667,0.5,0.5,easy,"[0.5, 0.0, 0.0]"
2026-03-29_09-56-46_#57-0: task_2,16492,4081,20573,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#58-0: task_5,12391,1671,14062,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#59-0: task_4,13000,3085,16085,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-29_09-56-46_#60-0: task_1,11379,2701,14080,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#61-0: task_7,6553,1243,7796,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-29_09-56-46_#62-0: task_1,18469,11500,29969,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-29_09-56-46_#63-0: task_2,16351,4407,20758,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#64-0: task_6,12440,2619,15059,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-29_09-56-46_#65-0: task_2,18870,5708,24578,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-03-29_09-56-46_#66-0: task_7,24599,5710,30309,4,0,False,True,0.33,0.0825,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0]"
2026-03-29_09-56-46_#67-0: task_6,18081,8837,26918,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#68-0: task_4,6635,1658,8293,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#69-0: task_5,17876,4706,22582,3,1,True,False,1.0,0.333333,1.0,1.0,medium,"[1.0, 0.0, 0.0]"
2026-03-29_09-56-46_#70-0: task_1,29492,5887,35379,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#71-0: task_4,26383,7970,34353,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-29_09-56-46_#72-0: task_4,7232,1721,8953,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#73-0: task_5,4822,4840,9662,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#74-0: task_4,24240,15683,39923,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.0, 0.0, 0.5]"
2026-03-29_09-56-46_#75-0: task_5,6093,1082,7175,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-29_09-56-46_#76-0: task_5,28719,4028,32747,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-03-29_09-56-46_#77-0: task_7,18345,10709,29054,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
