task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-21_18-56-45_#0-0: task_3,29041,9669,38710,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#1-0: task_3,28212,18905,47117,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#2-0: task_2,27606,12797,40403,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0]"
2026-01-21_18-56-45_#3-0: task_6,16084,14824,30908,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_18-56-45_#4-0: task_3,41942,23463,65405,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#5-0: task_6,41642,18682,60324,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#6-0: task_6,35051,18726,53777,5,0,False,True,0.25,0.05,0.25,0.25,medium,"[0.25, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#7-0: task_6,33936,18993,52929,5,0,False,True,0.25,0.15,0.75,0.75,medium,"[0.25, 0.25, 0.0, 0.25, 0.0]"
2026-01-21_18-56-45_#8-0: task_1,42017,26733,68750,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-21_18-56-45_#9-0: task_5,41029,15484,56513,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#10-0: task_6,28572,11076,39648,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#11-0: task_2,28398,16047,44445,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#12-0: task_5,20432,7357,27789,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#13-0: task_6,28400,10636,39036,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#14-0: task_2,8152,2352,10504,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_18-56-45_#15-0: task_2,27543,8806,36349,4,0,False,True,0.5,0.125,0.5,0.5,easy,"[0.0, 0.0, 0.0, 0.5]"
2026-01-21_18-56-45_#16-0: task_4,26900,12358,39258,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5]"
2026-01-21_18-56-45_#17-0: task_4,27768,7987,35755,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#18-0: task_3,27929,9250,37179,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#19-0: task_6,18474,9253,27727,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#20-0: task_6,21618,7585,29203,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.0, 0.5]"
2026-01-21_18-56-45_#21-0: task_5,36413,24018,60431,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#22-0: task_2,28159,13525,41684,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#23-0: task_6,34913,16897,51810,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#24-0: task_3,29151,17117,46268,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#25-0: task_7,15286,7693,22979,2,0,False,True,0.33,0.33,0.66,0.66,hard,"[0.33, 0.33]"
2026-01-21_18-56-45_#26-0: task_1,33786,23871,57657,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-56-45_#27-0: task_2,8963,5344,14307,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_18-56-45_#28-0: task_7,22393,13128,35521,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.33, 0.0, 0.0]"
2026-01-21_18-56-45_#29-0: task_1,20345,8081,28426,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
