task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-07_20-07-28_#0-0: task_3,20868,442,21310,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#1-0: task_3,20982,553,21535,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#2-0: task_2,15909,340,16249,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 0.0, 1.0]"
2026-04-07_20-07-28_#3-0: task_6,10992,322,11314,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_20-07-28_#4-0: task_3,20949,564,21513,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#5-0: task_6,20914,464,21378,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#6-0: task_6,21223,438,21661,4,0,False,True,0.25,0.125,0.5,0.5,medium,"[0.0, 0.25, 0.0, 0.25]"
2026-04-07_20-07-28_#7-0: task_6,21180,381,21561,4,0,False,True,0.25,0.1875,0.75,0.75,medium,"[0.0, 0.25, 0.25, 0.25]"
2026-04-07_20-07-28_#8-0: task_1,16303,449,16752,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-04-07_20-07-28_#9-0: task_5,11173,315,11488,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_20-07-28_#10-0: task_6,23020,486,23506,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#11-0: task_2,20651,528,21179,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#12-0: task_5,6272,206,6478,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_20-07-28_#13-0: task_6,6367,261,6628,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_20-07-28_#14-0: task_2,6926,217,7143,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_20-07-28_#15-0: task_2,5669,120,5789,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_20-07-28_#16-0: task_4,5821,263,6084,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_20-07-28_#17-0: task_4,12744,309,13053,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-07_20-07-28_#18-0: task_3,11149,276,11425,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_20-07-28_#19-0: task_6,6352,257,6609,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-07_20-07-28_#20-0: task_6,12196,327,12523,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-04-07_20-07-28_#21-0: task_5,26155,514,26669,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#22-0: task_2,15997,387,16384,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 0.0, 1.0]"
2026-04-07_20-07-28_#23-0: task_6,23441,500,23941,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#24-0: task_3,21172,563,21735,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#25-0: task_7,6139,194,6333,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-07_20-07-28_#26-0: task_1,16459,486,16945,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-07_20-07-28_#27-0: task_2,6047,223,6270,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_20-07-28_#28-0: task_7,15861,486,16347,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.0, 0.33]"
2026-04-07_20-07-28_#29-0: task_1,16028,422,16450,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_20-07-28_#30-0: task_7,16488,444,16932,3,0,False,True,0.67,0.223333,0.67,0.67,hard,"[0.0, 0.0, 0.67]"
2026-04-07_20-07-28_#31-0: task_3,6361,254,6615,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_20-07-28_#32-0: task_4,18000,507,18507,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_20-16-10_#33-0: task_3,16041,539,16580,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_20-16-10_#34-0: task_1,15772,455,16227,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-07_20-16-10_#35-0: task_2,6031,197,6228,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-07_20-16-10_#36-0: task_5,10984,306,11290,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-04-07_20-23-02_#37-0: task_6,16096,390,16486,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-07_20-23-02_#38-0: task_3,15927,524,16451,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
