task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-08_08-51-50_#0-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-08_08-51-50_#1-0: task_6,0,0,0,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[0.0, 1.0]"
2026-04-08_08-51-50_#2-0: task_6,0,0,0,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#3-0: task_1,0,0,0,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-04-08_08-51-50_#4-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-08_08-51-50_#5-0: task_5,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#6-0: task_7,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-04-08_08-51-50_#7-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-08_08-51-50_#8-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-08_08-51-50_#9-0: task_6,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#10-0: task_3,0,0,0,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#11-0: task_1,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#12-0: task_3,0,0,0,5,0,False,True,0.5,0.1,0.5,0.5,easy,"[0.0, 0.0, 0.0, 0.5, 0.0]"
2026-04-08_08-51-50_#13-0: task_4,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#14-0: task_2,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-51-50_#15-0: task_4,0,0,0,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-04-08_08-51-50_#16-0: task_1,0,0,0,8,2,True,False,1.0,0.25,2.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
