task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-25_08-21-45_#0-0: task_2,18239,15824,34063,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_08-21-45_#1-0: task_4,29721,26559,56280,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-25_08-21-45_#2-0: task_2,23052,38417,61469,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_08-21-45_#3-0: task_2,18707,35315,54022,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_08-21-45_#4-0: task_7,42454,53617,96071,6,0,False,True,0.33,0.055,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-25_08-21-45_#5-0: task_1,19274,7271,26545,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-25_08-21-45_#6-0: task_4,11181,15011,26192,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_08-21-45_#7-0: task_7,21088,39053,60141,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-01-25_08-21-45_#8-0: task_5,22053,11229,33282,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_08-21-45_#9-0: task_1,22101,28264,50365,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_08-21-45_#10-0: task_1,22345,14330,36675,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-25_08-21-45_#11-0: task_6,24772,24469,49241,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
