task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-08_19-32-08_#1-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#2-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#3-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#4-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#5-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#6-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#7-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#8-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#9-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#10-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#12-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#13-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#19-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#20-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#26-0: task_7,0,0,0,2,0,False,True,0.33,0.33,0.66,0.66,"[0.33, 0.33]"
2026-01-08_19-32-08_#27-0: task_7,0,0,0,1,0,False,True,0.17,0.17,0.17,0.17,[0.17]
2026-01-08_19-32-08_#28-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#32-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#33-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#35-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#36-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#37-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#38-0: task_7,0,0,0,1,0,False,True,0.33,0.33,0.33,0.33,[0.33]
2026-01-08_19-32-08_#42-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#43-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#44-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#45-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#47-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#48-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#57-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#59-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#60-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#64-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#65-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#66-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-08_19-32-08_#67-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#68-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_19-32-08_#69-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
