task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-20_21-31-39_#0-0: task_1,79965,7379,87344,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-20_21-31-39_#1-0: task_6,51791,9094,60885,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-20_21-31-39_#2-0: task_6,50895,22835,73730,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#3-0: task_1,38069,12822,50891,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#4-0: task_6,30210,10835,41045,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-20_21-31-39_#5-0: task_5,90086,23200,113286,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#6-0: task_7,66015,10140,76155,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-20_21-31-39_#7-0: task_3,90172,14259,104431,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#8-0: task_7,60158,3994,64152,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-20_21-31-39_#9-0: task_6,28024,17034,45058,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#10-0: task_3,64452,32337,96789,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#11-0: task_1,44389,24542,68931,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#12-0: task_3,44476,23693,68169,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#13-0: task_4,39628,16172,55800,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-20_21-31-39_#14-0: task_2,52914,16849,69763,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
