task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-09_14-45-01_#0-0: task_1,13110,3053,16163,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#1-0: task_6,31305,3758,35063,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-04-09_14-45-01_#2-0: task_6,5694,2211,7905,0,0,False,False,0.0,0.0,0,0,medium,[]
2026-04-09_14-45-01_#3-0: task_1,10975,2978,13953,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#4-0: task_6,17558,2665,20223,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#5-0: task_5,57654,1822,59476,0,0,False,False,0.0,0.0,0,0,medium,[]
2026-04-09_14-45-01_#6-0: task_7,29229,4539,33768,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-04-09_14-45-01_#7-0: task_3,45945,3558,49503,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#8-0: task_7,58398,3479,61877,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#9-0: task_6,10189,3558,13747,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#10-0: task_3,12020,3682,15702,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#11-0: task_1,23433,3158,26591,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#12-0: task_3,16074,2915,18989,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#13-0: task_4,9575,4809,14384,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#14-0: task_2,10931,3154,14085,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#15-0: task_4,10188,2899,13087,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#16-0: task_1,11383,2754,14137,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#17-0: task_6,35177,3644,38821,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#18-0: task_6,11917,6400,18317,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#19-0: task_3,10183,3152,13335,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#20-0: task_5,17958,3362,21320,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#21-0: task_5,36954,2968,39922,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#22-0: task_1,10467,2969,13436,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#23-0: task_7,28903,3173,32076,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#24-0: task_6,67798,3072,70870,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#25-0: task_3,8760,5318,14078,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#26-0: task_7,19067,3262,22329,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#27-0: task_6,9710,3843,13553,1,0,False,True,0.25,0.25,0.25,0.25,medium,[0.25]
2026-04-09_14-45-01_#28-0: task_5,8921,4546,13467,1,0,False,True,0.25,0.25,0.25,0.25,medium,[0.25]
2026-04-09_14-45-01_#29-0: task_5,44487,2690,47177,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#30-0: task_2,57553,2703,60256,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#31-0: task_2,11821,3012,14833,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#32-0: task_3,9973,3870,13843,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#33-0: task_7,10154,2934,13088,1,0,False,True,0.67,0.67,0.67,0.67,hard,[0.67]
2026-04-09_14-45-01_#34-0: task_2,43970,4862,48832,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#35-0: task_7,11520,2717,14237,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#36-0: task_5,53799,3657,57456,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#37-0: task_1,10704,2445,13149,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#38-0: task_5,10302,2646,12948,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#39-0: task_3,12535,3001,15536,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#40-0: task_4,10866,3073,13939,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#41-0: task_1,25035,3590,28625,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#42-0: task_1,10045,4175,14220,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#43-0: task_7,16446,3002,19448,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-04-09_14-45-01_#44-0: task_7,14627,4349,18976,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#45-0: task_3,10582,3393,13975,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#46-0: task_2,20356,3259,23615,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#47-0: task_1,18963,5117,24080,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#48-0: task_2,14403,3000,17403,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#49-0: task_5,17485,3500,20985,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#50-0: task_1,20983,3706,24689,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-04-09_14-45-01_#51-0: task_1,14726,3725,18451,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-04-09_14-45-01_#52-0: task_6,12740,3275,16015,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#53-0: task_1,11163,2703,13866,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#54-0: task_7,79273,3074,82347,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#55-0: task_5,10491,2967,13458,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#56-0: task_7,77475,2951,80426,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-04-09_14-45-01_#57-0: task_2,19416,3583,22999,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#58-0: task_2,9938,2977,12915,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#59-0: task_6,10687,3697,14384,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#60-0: task_4,61015,4452,65467,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#61-0: task_5,10081,3286,13367,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#62-0: task_2,10661,3569,14230,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#63-0: task_3,10304,3733,14037,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#64-0: task_5,11916,3352,15268,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#65-0: task_7,10551,3821,14372,1,0,False,True,0.17,0.17,0.17,0.17,hard,[0.17]
2026-04-09_14-45-01_#66-0: task_5,9262,3619,12881,1,0,False,True,0.25,0.25,0.25,0.25,medium,[0.25]
2026-04-09_14-45-01_#67-0: task_4,10134,3788,13922,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#68-0: task_2,9451,3597,13048,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#69-0: task_5,21721,2411,24132,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#70-0: task_7,10949,2992,13941,1,0,False,True,0.67,0.67,0.67,0.67,hard,[0.67]
2026-04-09_14-45-01_#71-0: task_6,11296,3378,14674,1,1,True,False,1.0,1.0,1.0,1.0,medium,[1.0]
2026-04-09_14-45-01_#72-0: task_6,10760,3568,14328,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#73-0: task_2,13123,2630,15753,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-04-09_14-45-01_#74-0: task_4,10083,3247,13330,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#75-0: task_6,9313,4278,13591,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#76-0: task_6,11648,3150,14798,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#77-0: task_3,9696,4077,13773,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-04-09_14-45-01_#78-0: task_4,61823,3456,65279,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#79-0: task_5,41521,3568,45089,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#80-0: task_4,10500,3354,13854,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-04-09_14-45-01_#81-0: task_1,10503,3142,13645,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#82-0: task_2,23822,2784,26606,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#83-0: task_2,41680,3366,45046,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#84-0: task_1,11835,3585,15420,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#85-0: task_3,10273,2772,13045,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#86-0: task_1,10128,2877,13005,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-04-09_14-45-01_#87-0: task_5,34306,3591,37897,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#88-0: task_5,29288,3533,32821,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#89-0: task_2,10393,3898,14291,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#90-0: task_5,61438,3565,65003,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#91-0: task_2,10073,4153,14226,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#92-0: task_1,11368,3156,14524,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#93-0: task_1,21621,2694,24315,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#94-0: task_1,24970,3264,28234,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#95-0: task_1,10264,2675,12939,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#96-0: task_7,10785,3325,14110,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#97-0: task_3,18584,3959,22543,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#98-0: task_2,9970,3639,13609,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-04-09_14-45-01_#99-0: task_3,15979,2711,18690,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#100-0: task_6,10175,3373,13548,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#101-0: task_4,38087,3367,41454,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#102-0: task_2,21481,3009,24490,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#103-0: task_5,12112,3010,15122,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#104-0: task_2,11064,3950,15014,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#105-0: task_6,44482,3017,47499,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#106-0: task_4,11570,3844,15414,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#107-0: task_2,25378,3079,28457,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#108-0: task_7,11079,3589,14668,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#109-0: task_4,26414,3353,29767,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-09_14-45-01_#110-0: task_7,10374,3875,14249,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-09_14-45-01_#111-0: task_4,10387,2564,12951,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-04-09_14-45-01_#112-0: task_2,10038,6840,16878,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#113-0: task_1,11812,3722,15534,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-09_14-45-01_#114-0: task_1,11050,3745,14795,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
