task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-01_14-08-17_#0-0: task_6,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#1-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-01_14-08-17_#2-0: task_1,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#3-0: task_6,0,0,0,4,2,True,False,1.0,0.5,2.0,1.0,medium,"[0.0, 1.0, 1.0, 0.0]"
2026-04-01_14-08-17_#4-0: task_3,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#5-0: task_2,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#6-0: task_6,0,0,0,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-04-01_14-08-17_#7-0: task_6,0,0,0,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-04-01_14-08-17_#8-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-01_14-08-17_#9-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-01_14-08-17_#10-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-01_14-08-17_#11-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-01_14-08-17_#12-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-01_14-08-17_#13-0: task_5,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#14-0: task_5,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#15-0: task_1,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#16-0: task_5,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-01_14-08-17_#17-0: task_2,0,0,0,2,0,False,True,0.5,0.5,1.0,1.0,easy,"[0.5, 0.5]"
2026-04-01_14-08-17_#18-0: task_6,0,0,0,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#19-0: task_6,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#20-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-01_14-08-17_#21-0: task_5,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#22-0: task_4,0,0,0,1,0,False,True,0.25,0.25,0.25,0.25,medium,[0.25]
2026-04-01_14-08-17_#23-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-04-01_14-08-17_#24-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-01_14-08-17_#25-0: task_7,0,0,0,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-04-01_14-08-17_#27-0: task_7,0,0,0,4,0,False,True,0.33,0.0825,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33]"
2026-04-01_14-08-17_#28-0: task_2,0,0,0,4,0,False,True,0.5,0.125,0.5,0.5,easy,"[0.0, 0.0, 0.0, 0.5]"
2026-04-01_14-08-17_#29-0: task_6,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-01_14-08-17_#30-0: task_3,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-01_14-08-17_#31-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-01_14-08-17_#32-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
