task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-02-01_20-56-41_#0-0: task_1,83942,10385,94327,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-02-01_20-56-41_#1-0: task_6,100360,12653,113013,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-02-01_20-56-41_#2-0: task_6,84737,16269,101006,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-02-01_20-56-41_#3-0: task_1,58020,12540,70560,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-02-01_20-56-41_#4-0: task_6,64538,16195,80733,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-02-01_20-56-41_#5-0: task_5,165633,9282,174915,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-02-01_20-56-41_#6-0: task_7,138598,12932,151530,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-02-02_07-35-27_#7-0: task_3,96475,15896,112371,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-02-02_07-35-27_#8-0: task_7,110016,6290,116306,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-02-02_07-35-27_#9-0: task_6,51405,13225,64630,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-02-02_07-35-27_#10-0: task_3,102111,29054,131165,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-02_07-35-27_#11-0: task_1,86522,23670,110192,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-02_07-35-27_#12-0: task_3,55033,21827,76860,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-02-02_07-35-27_#13-0: task_4,79669,13738,93407,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
