task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-20_10-52-21_#0-0: task_1,22026,7011,29037,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-20_10-52-21_#1-0: task_6,40094,8449,48543,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-20_10-52-21_#2-0: task_6,65719,12356,78075,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#3-0: task_1,30869,11599,42468,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#4-0: task_6,27897,8998,36895,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-20_10-52-21_#5-0: task_5,87329,11431,98760,0,0,False,False,0.0,0.0,0,0,medium,[]
2026-03-20_10-52-21_#6-0: task_7,43866,10929,54795,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-20_10-52-21_#7-0: task_3,126509,17960,144469,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#8-0: task_7,52409,3136,55545,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-20_10-52-21_#9-0: task_6,37539,13846,51385,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#10-0: task_3,82857,29657,112514,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#11-0: task_1,56002,14848,70850,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#12-0: task_3,45779,12902,58681,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#13-0: task_4,36824,14637,51461,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5]"
2026-03-20_10-52-21_#14-0: task_2,67356,9224,76580,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#15-0: task_4,93515,32657,126172,8,0,False,True,0.5,0.0625,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#16-0: task_1,47109,41181,88290,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#17-0: task_6,123942,11848,135790,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#18-0: task_6,68832,34677,103509,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#19-0: task_3,35462,18098,53560,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-20_10-52-21_#20-0: task_5,37552,10889,48441,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
