task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-22_14-23-07_#0-0: task_6,30871,18682,49553,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#1-0: task_1,17138,10997,28135,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-23-07_#2-0: task_1,35861,24605,60466,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#3-0: task_6,43981,26343,70324,6,3,True,False,1.0,0.5,3.0,1.0,medium,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
2026-01-22_14-23-07_#4-0: task_3,37289,23949,61238,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#5-0: task_2,45360,27455,72815,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#6-0: task_6,43297,23414,66711,6,0,False,True,0.25,0.125,0.75,0.75,medium,"[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#7-0: task_6,44102,22434,66536,6,0,False,True,0.25,0.125,0.75,0.75,medium,"[0.25, 0.25, 0.25, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#8-0: task_5,21974,12754,34728,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#9-0: task_4,20694,15026,35720,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.25, 0.0, 0.0]"
2026-01-22_14-23-07_#10-0: task_1,19971,14439,34410,3,0,False,True,0.5,0.166667,0.5,0.5,easy,"[0.0, 0.5, 0.0]"
2026-01-22_14-23-07_#11-0: task_1,23990,12911,36901,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#12-0: task_2,20739,13496,34235,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#13-0: task_5,42966,24852,67818,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-23-07_#14-0: task_5,24246,12268,36514,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
