task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-22_14-19-18_#0-0: task_2,37323,883,38206,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#1-0: task_4,65852,1648,67500,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#2-0: task_2,54803,1485,56288,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#3-0: task_2,48417,1504,49921,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#4-0: task_7,94833,2367,97200,9,0,False,True,0.33,0.036667,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-22_14-19-18_#5-0: task_1,30082,473,30555,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_14-19-18_#6-0: task_4,28172,812,28984,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#7-0: task_7,47804,1263,49067,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.33, 0.0, 0.0]"
2026-01-22_14-19-18_#8-0: task_5,39726,716,40442,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_14-19-18_#9-0: task_1,45247,1083,46330,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#10-0: task_1,38028,711,38739,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-19-18_#11-0: task_6,51590,1163,52753,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.5, 0.0, 0.0]"
2026-01-22_14-19-18_#12-0: task_7,46028,620,46648,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_14-19-18_#13-0: task_1,77352,2139,79491,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#14-0: task_1,17891,586,18477,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_14-19-18_#15-0: task_7,61893,1631,63524,7,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#16-0: task_7,60910,1450,62360,4,0,False,True,0.67,0.25,1.0,1.0,hard,"[0.67, 0.0, 0.0, 0.33]"
2026-01-22_14-19-18_#17-0: task_2,19953,740,20693,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-19-18_#18-0: task_2,38682,1154,39836,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#19-0: task_4,48673,974,49647,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#20-0: task_2,30883,795,31678,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#21-0: task_7,35008,675,35683,2,0,False,True,0.33,0.33,0.66,0.66,hard,"[0.33, 0.33]"
2026-01-22_14-19-18_#22-0: task_4,53241,1355,54596,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#23-0: task_1,66477,1768,68245,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#24-0: task_2,44350,1107,45457,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#25-0: task_4,20415,682,21097,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-22_14-19-18_#26-0: task_3,47770,1376,49146,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#27-0: task_7,41441,817,42258,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-22_14-19-18_#28-0: task_7,54429,1539,55968,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-22_14-19-18_#29-0: task_4,38073,990,39063,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#30-0: task_3,36081,1440,37521,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#31-0: task_4,56182,1498,57680,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-01-22_14-19-18_#32-0: task_6,61924,627,62551,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-22_14-19-18_#33-0: task_6,37905,1272,39177,4,0,False,True,0.5,0.375,1.5,1.0,medium,"[0.5, 0.5, 0.5, 0.0]"
2026-01-22_14-19-18_#34-0: task_7,10319,358,10677,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-22_14-19-18_#35-0: task_6,32367,687,33054,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-22_14-19-18_#36-0: task_4,30976,879,31855,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.5, 0.0, 0.0]"
2026-01-22_14-19-18_#37-0: task_2,54899,1133,56032,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_14-19-18_#38-0: task_2,71616,1880,73496,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#39-0: task_3,29497,750,30247,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-01-22_14-19-18_#40-0: task_2,52013,1744,53757,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#41-0: task_1,45464,1256,46720,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#42-0: task_5,32603,899,33502,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-22_14-19-18_#43-0: task_6,59772,1301,61073,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_14-19-18_#44-0: task_5,44670,1276,45946,5,1,True,False,1.0,0.3,1.5,1.0,medium,"[0.0, 1.0, 0.5, 0.0, 0.0]"
2026-01-22_14-19-18_#45-0: task_1,64663,1637,66300,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-22_14-19-18_#46-0: task_6,26000,736,26736,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-22_14-19-18_#47-0: task_3,21812,385,22197,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-22_14-19-18_#48-0: task_1,11560,441,12001,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-22_14-19-18_#49-0: task_1,38133,893,39026,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-01-22_14-19-18_#50-0: task_5,53481,1540,55021,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0, 1.0, 0.0]"
