task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-13_18-53-05_#0-0: task_6,22665,21699,44364,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#1-0: task_1,12855,9989,22844,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-13_18-53-05_#2-0: task_1,25987,33146,59133,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#3-0: task_6,31891,29836,61727,5,2,True,False,1.0,0.4,2.0,1.0,medium,"[1.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-13_18-53-05_#4-0: task_3,27752,23933,51685,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#5-0: task_2,32510,22874,55384,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#6-0: task_6,31682,25171,56853,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#7-0: task_6,32159,26807,58966,6,0,False,True,0.25,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.25, 0.25, 0.0, 0.0]"
2026-01-13_18-53-05_#8-0: task_5,16854,10910,27764,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#9-0: task_4,16377,13504,29881,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.25, 0.0]"
2026-01-13_18-53-05_#10-0: task_1,16331,21072,37403,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.0, 0.5]"
2026-01-13_18-53-05_#11-0: task_1,17244,14350,31594,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-13_18-53-05_#12-0: task_2,15990,10178,26168,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
