task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2026-01-07_07-41-19_#1-0: task_3,23635,864,24499,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#2-0: task_2,24462,787,25249,4,1,True,1.0,0.25,1.0,"[0.0, 1.0, 0.0, 0.0]"
2026-01-07_07-41-19_#3-0: task_6,14640,487,15127,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#4-0: task_3,34707,949,35656,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#5-0: task_6,34823,1056,35879,6,0,False,0.25,0.041667,0.25,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#6-0: task_6,29950,997,30947,5,0,False,0.25,0.05,0.25,"[0.25, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#7-0: task_6,29241,793,30034,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#8-0: task_1,34539,1104,35643,6,1,True,1.0,0.166667,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#9-0: task_5,34704,1046,35750,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#10-0: task_6,24163,762,24925,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#11-0: task_2,24202,787,24989,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#12-0: task_5,18142,527,18669,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#13-0: task_6,18642,542,19184,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#14-0: task_2,7390,274,7664,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#15-0: task_2,17400,511,17911,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#16-0: task_4,17667,619,18286,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#17-0: task_4,23410,707,24117,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#18-0: task_3,28432,987,29419,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#19-0: task_6,18003,577,18580,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#20-0: task_6,20364,984,21348,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#21-0: task_5,30807,1015,31822,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#22-0: task_2,25142,849,25991,4,1,True,1.0,0.25,1.0,"[1.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#23-0: task_6,29051,763,29814,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#24-0: task_3,24086,837,24923,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#25-0: task_7,13727,455,14182,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#26-0: task_1,29967,958,30925,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#27-0: task_2,8492,341,8833,0,0,False,0.0,0.0,0,[]
2026-01-07_07-41-19_#28-0: task_7,19251,501,19752,3,0,False,0.33,0.11,0.33,"[0.33, 0.0, 0.0]"
2026-01-07_07-41-19_#29-0: task_1,19510,619,20129,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#30-0: task_7,35002,998,36000,6,0,False,0.33,0.11,0.66,"[0.0, 0.0, 0.0, 0.33, 0.33, 0.0]"
2026-01-07_07-41-19_#31-0: task_3,23365,756,24121,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#32-0: task_4,25109,910,26019,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#33-0: task_3,25014,925,25939,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#34-0: task_1,18438,635,19073,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#35-0: task_2,6989,345,7334,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#36-0: task_5,23705,739,24444,4,1,True,1.0,0.625,2.5,"[0.5, 0.5, 1.0, 0.5]"
2026-01-07_07-41-19_#37-0: task_6,18807,629,19436,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#38-0: task_3,18994,729,19723,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#39-0: task_2,18305,464,18769,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#40-0: task_6,24426,868,25294,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#41-0: task_4,13595,581,14176,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#42-0: task_4,18790,654,19444,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#43-0: task_6,8115,307,8422,1,0,False,0.5,0.5,0.5,[0.5]
2026-01-07_07-41-19_#44-0: task_4,40150,1146,41296,7,0,False,0.5,0.071429,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-07_07-41-19_#45-0: task_2,8695,296,8991,0,0,False,0.0,0.0,0,[]
2026-01-07_07-41-19_#46-0: task_3,23623,729,24352,4,2,True,1.0,0.5,2.0,"[1.0, 1.0, 0.0, 0.0]"
2026-01-07_07-41-19_#47-0: task_2,19247,766,20013,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#48-0: task_2,12795,492,13287,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#49-0: task_6,12695,484,13179,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#50-0: task_5,18600,557,19157,2,0,False,0.5,0.25,0.5,"[0.5, 0.0]"
2026-01-07_07-41-19_#51-0: task_5,13124,381,13505,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#52-0: task_3,13259,451,13710,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#53-0: task_6,24086,894,24980,4,1,True,1.0,0.5,2.0,"[1.0, 0.5, 0.0, 0.5]"
2026-01-07_07-41-19_#54-0: task_5,13844,422,14266,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#55-0: task_3,24967,1231,26198,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#56-0: task_2,19099,715,19814,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#57-0: task_2,19125,622,19747,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#58-0: task_5,14543,605,15148,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#59-0: task_4,23998,835,24833,4,0,False,0.5,0.1875,0.75,"[0.0, 0.0, 0.25, 0.5]"
2026-01-07_07-41-19_#60-0: task_1,24078,988,25066,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#61-0: task_7,8857,333,9190,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#62-0: task_1,19856,558,20414,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#63-0: task_2,20092,719,20811,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#64-0: task_6,14412,493,14905,2,0,False,0.5,0.25,0.5,"[0.0, 0.5]"
