task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-21_18-59-24_#0-0: task_1,78918,451,79369,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-59-24_#1-0: task_6,51860,369,52229,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_18-59-24_#2-0: task_6,52404,570,52974,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#3-0: task_1,37639,510,38149,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#4-0: task_6,30884,448,31332,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-21_18-59-24_#5-0: task_5,88613,646,89259,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-01-21_18-59-24_#6-0: task_7,65194,516,65710,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-21_18-59-24_#7-0: task_3,87415,570,87985,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#8-0: task_7,59971,423,60394,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-21_18-59-24_#9-0: task_6,30965,460,31425,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#10-0: task_3,64151,640,64791,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#11-0: task_1,45251,647,45898,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#12-0: task_3,43363,566,43929,5,0,False,True,0.5,0.1,0.5,0.5,easy,"[0.0, 0.5, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#13-0: task_4,41837,560,42397,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#14-0: task_2,54804,598,55402,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#15-0: task_4,78557,1019,79576,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#16-0: task_1,59709,877,60586,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#17-0: task_6,106496,881,107377,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#18-0: task_6,63533,846,64379,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-01-21_18-59-24_#19-0: task_3,63406,904,64310,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#20-0: task_5,41245,456,41701,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#21-0: task_5,67461,941,68402,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#22-0: task_1,103143,1033,104176,7,7,True,False,1.0,1.0,7.0,1.0,easy,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-01-21_18-59-24_#23-0: task_7,65383,912,66295,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-21_18-59-24_#24-0: task_6,75881,698,76579,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#25-0: task_3,27663,523,28186,4,1,True,False,1.0,0.25,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0]"
2026-01-21_18-59-24_#26-0: task_7,104271,457,104728,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#27-0: task_6,45377,751,46128,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#28-0: task_5,45146,643,45789,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#29-0: task_5,112702,494,113196,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_18-59-24_#30-0: task_2,92309,1221,93530,9,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#31-0: task_2,96225,526,96751,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#32-0: task_3,68590,793,69383,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#33-0: task_7,68752,601,69353,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#34-0: task_2,96279,591,96870,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-59-24_#35-0: task_7,38642,440,39082,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-21_18-59-24_#36-0: task_5,134506,806,135312,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#37-0: task_1,54801,260,55061,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_18-59-24_#38-0: task_5,48894,624,49518,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#39-0: task_3,38226,566,38792,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#40-0: task_4,58476,662,59138,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#41-0: task_1,68120,742,68862,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#42-0: task_1,72394,718,73112,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#43-0: task_7,63323,785,64108,6,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#44-0: task_7,75848,955,76803,8,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#45-0: task_3,28258,551,28809,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#46-0: task_2,81829,785,82614,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#47-0: task_1,40736,401,41137,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-59-24_#48-0: task_2,94863,832,95695,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#49-0: task_5,52796,737,53533,5,0,False,True,0.5,0.15,0.75,0.75,medium,"[0.0, 0.0, 0.25, 0.0, 0.5]"
2026-01-21_18-59-24_#50-0: task_1,27255,300,27555,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-21_18-59-24_#51-0: task_1,27202,265,27467,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-21_18-59-24_#52-0: task_6,51946,675,52621,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#53-0: task_1,31803,328,32131,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-59-24_#54-0: task_7,82058,642,82700,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#55-0: task_5,55298,391,55689,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-21_18-59-24_#56-0: task_7,98800,404,99204,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-21_18-59-24_#57-0: task_2,44127,433,44560,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-59-24_#58-0: task_2,23154,311,23465,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-21_18-59-24_#59-0: task_6,119087,520,119607,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#60-0: task_4,107707,527,108234,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#61-0: task_5,51686,526,52212,3,0,False,True,0.5,0.5,1.5,1.0,medium,"[0.5, 0.5, 0.5]"
2026-01-21_18-59-24_#62-0: task_2,90726,597,91323,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#63-0: task_3,68776,364,69140,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-21_18-59-24_#64-0: task_5,59289,352,59641,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-21_18-59-24_#65-0: task_7,37620,424,38044,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#66-0: task_5,37939,471,38410,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-21_18-59-24_#67-0: task_4,37799,385,38184,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-21_18-59-24_#68-0: task_2,79633,710,80343,6,4,True,False,1.0,0.666667,4.0,1.0,easy,"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
2026-01-21_18-59-24_#69-0: task_5,50511,661,51172,5,1,True,False,1.0,0.6,3.0,1.0,medium,"[0.5, 1.0, 0.5, 0.5, 0.5]"
2026-01-21_18-59-24_#70-0: task_7,44597,450,45047,3,0,False,True,0.67,0.333333,1.0,1.0,hard,"[0.67, 0.33, 0.0]"
2026-01-21_18-59-24_#71-0: task_6,49724,502,50226,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-01-21_18-59-24_#72-0: task_6,47885,842,48727,6,1,True,False,1.0,0.333333,2.0,1.0,medium,"[0.0, 0.0, 0.5, 1.0, 0.5, 0.0]"
2026-01-21_18-59-24_#73-0: task_2,19451,214,19665,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
