task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-03_10-09-41_#0-0: task_6,18621,8012,26633,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#1-0: task_1,12234,6993,19227,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-03_10-09-41_#2-0: task_1,29848,13397,43245,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#3-0: task_6,23836,10493,34329,4,2,True,False,1.0,0.5,2.0,1.0,medium,"[1.0, 1.0, 0.0, 0.0]"
2026-03-03_10-09-41_#4-0: task_3,25060,13187,38247,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#5-0: task_2,19537,6348,25885,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#6-0: task_6,13230,4908,18138,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-03-03_10-09-41_#7-0: task_6,11529,6219,17748,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.0, 0.25]"
2026-03-03_10-09-41_#8-0: task_5,7335,3672,11007,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-03_10-09-41_#9-0: task_4,7662,3293,10955,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-03_10-09-41_#10-0: task_1,6485,3985,10470,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-03_10-09-41_#11-0: task_1,7324,5376,12700,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-03_10-09-41_#12-0: task_2,7314,5150,12464,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-03_10-09-41_#13-0: task_5,18855,15551,34406,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#14-0: task_5,18325,8240,26565,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#15-0: task_1,18127,12027,30154,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-03_10-09-41_#16-0: task_5,13474,5698,19172,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-03_10-09-41_#17-0: task_2,11608,6250,17858,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-03-03_10-09-41_#18-0: task_6,29659,20396,50055,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#19-0: task_6,18869,11052,29921,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#20-0: task_6,12698,6290,18988,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-03_10-09-41_#21-0: task_5,24550,10202,34752,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#22-0: task_4,6915,2951,9866,1,0,False,True,0.25,0.25,0.25,0.25,medium,[0.25]
2026-03-03_10-09-41_#23-0: task_5,6194,5179,11373,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-03_10-09-41_#24-0: task_3,7128,3624,10752,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-03_10-09-41_#25-0: task_7,18452,18150,36602,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#26-0: task_7,4851,6873,11724,0,0,False,False,0.0,0.0,0,0,hard,[]
2026-03-03_10-09-41_#27-0: task_7,16568,15042,31610,2,0,False,True,0.17,0.085,0.17,0.17,hard,"[0.0, 0.17]"
2026-03-03_10-09-41_#28-0: task_2,16432,14652,31084,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-03_10-09-41_#29-0: task_6,18776,6701,25477,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-03-03_10-09-41_#30-0: task_3,16321,7526,23847,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#31-0: task_2,6414,6331,12745,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-03-03_10-09-41_#32-0: task_2,6273,5293,11566,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-03_10-09-41_#33-0: task_7,17776,12224,30000,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-03-03_10-09-41_#34-0: task_1,12682,5503,18185,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.0, 0.5]"
2026-03-03_10-09-41_#35-0: task_4,11236,5325,16561,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-03-03_10-09-41_#36-0: task_5,6786,3435,10221,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-03_10-09-41_#37-0: task_3,13237,6388,19625,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
