task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-19_21-46-49_#0-0: task_1,81550,9542,91092,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-19_21-46-49_#1-0: task_6,53185,13844,67029,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-19_21-46-49_#2-0: task_6,54357,24218,78575,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#3-0: task_1,38422,15449,53871,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#4-0: task_6,31242,9172,40414,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-19_21-46-49_#5-0: task_5,94192,16444,110636,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#6-0: task_7,66636,7311,73947,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-19_21-46-49_#7-0: task_3,91708,14611,106319,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#8-0: task_7,60301,4829,65130,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-19_21-46-49_#9-0: task_6,32303,17947,50250,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#10-0: task_3,70463,28300,98763,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#11-0: task_1,46460,20494,66954,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#12-0: task_3,49317,25076,74393,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#13-0: task_4,41884,13877,55761,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#14-0: task_2,56319,16835,73154,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#15-0: task_4,81158,35532,116690,7,0,False,True,0.5,0.071429,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#16-0: task_1,62308,29474,91782,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#17-0: task_6,108156,19497,127653,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#18-0: task_6,63306,33822,97128,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-19_21-46-49_#19-0: task_3,63757,25327,89084,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#20-0: task_5,42902,12146,55048,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#21-0: task_5,74464,28926,103390,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#22-0: task_1,106499,37667,144166,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-19_21-46-49_#23-0: task_7,67391,27994,95385,7,0,False,True,0.33,0.047143,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#24-0: task_6,80135,25884,106019,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-19_21-46-49_#25-0: task_3,26216,18976,45192,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#26-0: task_7,109601,15387,124988,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#27-0: task_6,46835,16581,63416,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#28-0: task_5,46628,15669,62297,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#29-0: task_5,96808,5462,102270,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-19_21-46-49_#30-0: task_2,94707,33909,128616,9,1,True,False,1.0,0.111111,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#31-0: task_2,99270,12826,112096,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#32-0: task_3,71318,28501,99819,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#33-0: task_7,71635,16622,88257,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#34-0: task_2,99258,11979,111237,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-19_21-46-49_#35-0: task_7,38653,5599,44252,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-19_21-46-49_#36-0: task_5,91860,5710,97570,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-19_21-46-49_#37-0: task_1,56972,7186,64158,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-19_21-46-49_#38-0: task_5,52778,23765,76543,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#39-0: task_3,38946,20841,59787,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#40-0: task_4,64479,24589,89068,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#41-0: task_1,69329,16721,86050,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#42-0: task_1,76310,25142,101452,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#43-0: task_7,67870,25371,93241,6,0,False,True,0.33,0.11,0.66,0.66,hard,"[0.0, 0.33, 0.0, 0.0, 0.0, 0.33]"
2026-01-19_21-46-49_#44-0: task_7,81146,40617,121763,8,0,False,True,0.67,0.125,1.0,1.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.67, 0.0]"
2026-01-19_21-46-49_#45-0: task_3,27793,11873,39666,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#46-0: task_2,84959,25534,110493,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#47-0: task_1,41466,7241,48707,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-19_21-46-49_#48-0: task_2,100481,23968,124449,6,1,True,False,1.0,0.166667,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-19_21-46-49_#49-0: task_5,52705,22865,75570,5,0,False,True,0.25,0.05,0.25,0.25,medium,"[0.25, 0.0, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#50-0: task_1,28350,6469,34819,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-19_21-46-49_#51-0: task_1,27960,5008,32968,1,0,False,True,0.5,0.5,0.5,0.5,easy,[0.5]
2026-01-19_21-46-49_#52-0: task_6,54085,30555,84640,5,0,False,True,0.25,0.05,0.25,0.25,medium,"[0.0, 0.25, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#53-0: task_1,32909,7741,40650,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-19_21-46-49_#54-0: task_7,86661,20501,107162,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#55-0: task_5,56351,6918,63269,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-19_21-46-49_#56-0: task_7,102488,8452,110940,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-01-19_21-46-49_#57-0: task_2,43914,11880,55794,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-19_21-46-49_#58-0: task_2,24090,5001,29091,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-19_21-46-49_#59-0: task_6,123870,11544,135414,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-01-19_21-46-49_#60-0: task_4,106821,13958,120779,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#61-0: task_5,53103,18025,71128,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-19_21-46-49_#62-0: task_2,92460,12682,105142,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-19_21-46-49_#63-0: task_3,72451,8865,81316,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-19_21-46-49_#64-0: task_5,60493,3048,63541,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-19_21-46-49_#65-0: task_7,39540,12496,52036,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
