task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-04_09-16-59_#0-0: task_2,29505,13346,42851,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#1-0: task_4,38907,16085,54992,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
2026-03-04_09-16-59_#2-0: task_2,32039,17069,49108,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
2026-03-04_09-16-59_#3-0: task_2,26218,16391,42609,5,3,True,False,1.0,0.6,3.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0, 1.0]"
2026-03-04_09-16-59_#4-0: task_7,55593,33254,88847,9,0,False,True,0.33,0.22,1.98,1.0,hard,"[0.33, 0.0, 0.33, 0.33, 0.33, 0.0, 0.33, 0.33, 0.0]"
2026-03-04_09-16-59_#5-0: task_1,18631,5175,23806,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-04_09-16-59_#6-0: task_4,11295,8084,19379,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-04_09-16-59_#7-0: task_7,31439,19701,51140,4,0,False,True,0.67,0.1675,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.67]"
2026-03-04_09-16-59_#8-0: task_5,39143,5530,44673,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-04_09-16-59_#9-0: task_1,40371,13829,54200,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#10-0: task_1,37759,8193,45952,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-04_09-16-59_#11-0: task_6,43624,8966,52590,4,1,True,False,1.0,0.25,1.0,1.0,medium,"[0.0, 0.0, 0.0, 1.0]"
2026-03-04_09-16-59_#12-0: task_7,45347,4357,49704,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-04_09-16-59_#13-0: task_1,55654,31479,87133,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#14-0: task_1,7370,4123,11493,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-04_09-16-59_#15-0: task_7,47541,21274,68815,7,0,False,True,0.33,0.188571,1.32,1.0,hard,"[0.33, 0.0, 0.33, 0.33, 0.0, 0.0, 0.33]"
2026-03-04_09-16-59_#16-0: task_7,44943,25218,70161,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.67, 0.0, 0.0]"
2026-03-04_09-16-59_#17-0: task_2,14649,6282,20931,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[1.0, 0.0]"
2026-03-04_09-16-59_#18-0: task_2,26066,7859,33925,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 0.0, 0.0, 1.0]"
2026-03-04_09-16-59_#19-0: task_4,47900,15746,63646,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#20-0: task_2,25688,16729,42417,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-04_09-16-59_#21-0: task_7,31103,5882,36985,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-03-04_09-16-59_#22-0: task_4,34771,19702,54473,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.5]"
2026-03-04_09-16-59_#23-0: task_1,44530,17338,61868,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#24-0: task_2,34778,13405,48183,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#25-0: task_4,17111,9222,26333,2,0,False,True,0.5,0.5,1.0,1.0,medium,"[0.5, 0.5]"
2026-03-04_09-16-59_#26-0: task_3,32795,14990,47785,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#27-0: task_7,30827,5575,36402,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-04_09-16-59_#28-0: task_7,45900,19801,65701,5,0,False,True,0.67,0.134,0.67,0.67,hard,"[0.0, 0.0, 0.0, 0.0, 0.67]"
2026-03-04_09-16-59_#29-0: task_4,27543,14103,41646,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.5, 0.0, 0.0]"
2026-03-04_09-16-59_#30-0: task_3,25430,12332,37762,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#31-0: task_4,37994,17623,55617,5,1,True,False,1.0,0.4,2.0,1.0,medium,"[0.5, 1.0, 0.5, 0.0, 0.0]"
2026-03-04_09-16-59_#32-0: task_6,59145,4338,63483,2,1,True,False,1.0,0.5,1.0,1.0,medium,"[1.0, 0.0]"
2026-03-04_09-16-59_#33-0: task_6,24612,18554,43166,3,0,False,True,0.5,0.5,1.5,1.0,medium,"[0.5, 0.5, 0.5]"
2026-03-04_09-16-59_#34-0: task_7,7452,4449,11901,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-04_09-16-59_#35-0: task_6,35226,6576,41802,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-04_09-16-59_#36-0: task_4,23804,9768,33572,3,1,True,False,1.0,0.5,1.5,1.0,medium,"[1.0, 0.0, 0.5]"
2026-03-04_09-16-59_#37-0: task_2,53670,17617,71287,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 0.0, 1.0]"
2026-03-04_09-16-59_#38-0: task_2,40626,18357,58983,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#39-0: task_3,20995,11418,32413,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#40-0: task_2,32557,17623,50180,6,4,True,False,1.0,0.666667,4.0,1.0,easy,"[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
2026-03-04_09-16-59_#41-0: task_1,31207,20455,51662,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#42-0: task_5,28087,9534,37621,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-03-04_09-16-59_#43-0: task_6,53967,10873,64840,4,0,False,True,0.5,0.25,1.0,1.0,medium,"[0.5, 0.5, 0.0, 0.0]"
2026-03-04_09-16-59_#44-0: task_5,20347,9055,29402,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.5, 0.0, 0.0]"
2026-03-04_09-16-59_#45-0: task_1,48478,22008,70486,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-04_09-16-59_#46-0: task_6,23749,9329,33078,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-04_09-16-59_#47-0: task_3,23146,7097,30243,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-04_09-16-59_#48-0: task_1,7767,4631,12398,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-04_09-16-59_#49-0: task_1,29234,17115,46349,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-04_09-16-59_#50-0: task_5,27000,14302,41302,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
