task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-08_14-49-54_#1-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#3-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#4-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#5-0: task_5,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#6-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#7-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#8-0: task_7,0,0,0,1,0,False,True,0.33,0.33,0.33,0.33,[0.33]
2026-01-08_14-49-54_#9-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#10-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#13-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#14-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#15-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#17-0: task_6,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#18-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#19-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#20-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#21-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#22-0: task_1,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,[1.0]
2026-01-08_14-49-54_#23-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#25-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#26-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#27-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#28-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#29-0: task_5,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#30-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#32-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#34-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#35-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#36-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#37-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#39-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#40-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#41-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#42-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#43-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#45-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#46-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#48-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#49-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#50-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#51-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#52-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#53-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#54-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#55-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
